suicide hotline,isPartial,date
0,False,2019-01-06
47,False,2019-01-13
24,False,2019-01-20
47,False,2019-01-27
46,False,2019-02-03
44,False,2019-02-10
44,False,2019-02-17
67,False,2019-02-24
81,False,2019-03-03
72,False,2019-03-10
24,False,2019-03-17
73,False,2019-03-24
49,False,2019-03-31
50,False,2019-04-07
50,False,2019-04-14
25,False,2019-04-21
37,False,2019-04-28
73,False,2019-05-05
50,False,2019-05-12
88,False,2019-05-19
49,False,2019-05-26
71,False,2019-06-02
72,False,2019-06-09
37,False,2019-06-16
75,False,2019-06-23
39,False,2019-06-30
74,False,2019-07-07
50,False,2019-07-14
25,False,2019-07-21
38,False,2019-07-28
51,False,2019-08-04
25,False,2019-08-11
75,False,2019-08-18
24,False,2019-08-25
0,False,2019-09-01
81,False,2019-09-08
69,False,2019-09-15
46,False,2019-09-22
35,False,2019-09-29
23,False,2019-10-06
23,False,2019-10-13
23,False,2019-10-20
22,False,2019-10-27
78,False,2019-11-03
99,False,2019-11-10
33,False,2019-11-17
46,False,2019-11-24
43,False,2019-12-01
44,False,2019-12-08
44,False,2019-12-15
38,False,2019-12-22
34,False,2019-12-29
43,False,2020-01-05
32,False,2020-01-12
98,False,2020-01-19
65,False,2020-01-26
62,False,2020-02-02
84,False,2020-02-09
51,False,2020-02-16
49,False,2020-02-23
100,False,2020-03-01
49,False,2020-03-08
79,False,2020-03-15
19,False,2020-03-22
28,False,2020-03-29
37,False,2020-04-05
54,False,2020-04-12
18,False,2020-04-19
36,False,2020-04-26
54,False,2020-05-03
55,False,2020-05-10
64,False,2020-05-17
94,False,2020-05-24
27,False,2020-05-31
19,False,2020-06-07
48,False,2020-06-14
59,False,2020-06-21
51,False,2020-06-28
60,False,2020-07-05
51,False,2020-07-12
20,False,2020-07-19
21,False,2020-07-26
73,False,2020-08-02
31,False,2020-08-09
64,False,2020-08-16
62,False,2020-08-23
40,False,2020-08-30
