suicide methods,isPartial,date
49,False,2019-08-25
0,False,2019-09-01
33,False,2019-09-08
33,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
33,False,2019-10-06
0,False,2019-10-13
33,False,2019-10-20
100,False,2019-10-27
48,False,2019-11-03
0,False,2019-11-10
66,False,2019-11-17
34,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
33,False,2019-12-15
34,False,2019-12-22
48,False,2019-12-29
0,False,2020-01-05
59,False,2020-01-12
31,False,2020-01-19
30,False,2020-01-26
0,False,2020-02-02
30,False,2020-02-09
58,False,2020-02-16
29,False,2020-02-23
57,False,2020-03-01
29,False,2020-03-08
29,False,2020-03-15
28,False,2020-03-22
36,False,2020-03-29
28,False,2020-04-05
27,False,2020-04-12
36,False,2020-04-19
0,False,2020-04-26
55,False,2020-05-03
0,False,2020-05-10
28,False,2020-05-17
0,False,2020-05-24
27,False,2020-05-31
42,False,2020-06-07
29,False,2020-06-14
59,False,2020-06-21
0,False,2020-06-28
31,False,2020-07-05
30,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
31,False,2020-08-09
54,True,2020-08-16
