suicide attempt,isPartial,date
51,False,2019-01-06
50,False,2019-01-13
62,False,2019-01-20
40,False,2019-01-27
48,False,2019-02-03
40,False,2019-02-10
62,False,2019-02-17
62,False,2019-02-24
49,False,2019-03-03
62,False,2019-03-10
75,False,2019-03-17
60,False,2019-03-24
61,False,2019-03-31
45,False,2019-04-07
46,False,2019-04-14
56,False,2019-04-21
59,False,2019-04-28
59,False,2019-05-05
45,False,2019-05-12
38,False,2019-05-19
50,False,2019-05-26
44,False,2019-06-02
52,False,2019-06-09
45,False,2019-06-16
52,False,2019-06-23
41,False,2019-06-30
43,False,2019-07-07
47,False,2019-07-14
73,False,2019-07-21
51,False,2019-07-28
57,False,2019-08-04
77,False,2019-08-11
54,False,2019-08-18
49,False,2019-08-25
45,False,2019-09-01
45,False,2019-09-08
71,False,2019-09-15
56,False,2019-09-22
63,False,2019-09-29
54,False,2019-10-06
58,False,2019-10-13
55,False,2019-10-20
47,False,2019-10-27
53,False,2019-11-03
53,False,2019-11-10
60,False,2019-11-17
57,False,2019-11-24
60,False,2019-12-01
38,False,2019-12-08
44,False,2019-12-15
49,False,2019-12-22
47,False,2019-12-29
50,False,2020-01-05
44,False,2020-01-12
49,False,2020-01-19
100,False,2020-01-26
52,False,2020-02-02
48,False,2020-02-09
50,False,2020-02-16
52,False,2020-02-23
62,False,2020-03-01
67,False,2020-03-08
28,False,2020-03-15
45,False,2020-03-22
39,False,2020-03-29
44,False,2020-04-05
57,False,2020-04-12
50,False,2020-04-19
48,False,2020-04-26
52,False,2020-05-03
40,False,2020-05-10
46,False,2020-05-17
42,False,2020-05-24
48,False,2020-05-31
47,False,2020-06-07
39,False,2020-06-14
62,False,2020-06-21
43,False,2020-06-28
50,False,2020-07-05
78,False,2020-07-12
73,False,2020-07-19
48,False,2020-07-26
50,False,2020-08-02
47,False,2020-08-09
50,False,2020-08-16
43,False,2020-08-23
42,False,2020-08-30
