commit suicide,isPartial,date
38,False,2019-01-06
57,False,2019-01-13
39,False,2019-01-20
57,False,2019-01-27
19,False,2019-02-03
27,False,2019-02-10
54,False,2019-02-17
27,False,2019-02-24
47,False,2019-03-03
68,False,2019-03-10
59,False,2019-03-17
39,False,2019-03-24
59,False,2019-03-31
60,False,2019-04-07
31,False,2019-04-14
51,False,2019-04-21
99,False,2019-04-28
30,False,2019-05-05
20,False,2019-05-12
61,False,2019-05-19
40,False,2019-05-26
48,False,2019-06-02
58,False,2019-06-09
20,False,2019-06-16
61,False,2019-06-23
21,False,2019-06-30
80,False,2019-07-07
20,False,2019-07-14
41,False,2019-07-21
21,False,2019-07-28
21,False,2019-08-04
71,False,2019-08-11
51,False,2019-08-18
60,False,2019-08-25
38,False,2019-09-01
37,False,2019-09-08
56,False,2019-09-15
46,False,2019-09-22
28,False,2019-09-29
37,False,2019-10-06
74,False,2019-10-13
100,False,2019-10-20
45,False,2019-10-27
54,False,2019-11-03
44,False,2019-11-10
63,False,2019-11-17
65,False,2019-11-24
35,False,2019-12-01
35,False,2019-12-08
36,False,2019-12-15
41,False,2019-12-22
46,False,2019-12-29
17,False,2020-01-05
51,False,2020-01-12
26,False,2020-01-19
17,False,2020-01-26
50,False,2020-02-02
51,False,2020-02-09
50,False,2020-02-16
47,False,2020-02-23
40,False,2020-03-01
24,False,2020-03-08
40,False,2020-03-15
23,False,2020-03-22
38,False,2020-03-29
15,False,2020-04-05
44,False,2020-04-12
43,False,2020-04-19
36,False,2020-04-26
36,False,2020-05-03
60,False,2020-05-10
30,False,2020-05-17
45,False,2020-05-24
58,False,2020-05-31
37,False,2020-06-07
69,False,2020-06-14
16,False,2020-06-21
74,False,2020-06-28
49,False,2020-07-05
41,False,2020-07-12
49,False,2020-07-19
43,False,2020-07-26
17,False,2020-08-02
68,False,2020-08-09
34,False,2020-08-16
33,False,2020-08-23
56,False,2020-08-30
