i want to die,isPartial,date
33,False,2019-01-06
81,False,2019-01-13
33,False,2019-01-20
64,False,2019-01-27
48,False,2019-02-03
30,False,2019-02-10
30,False,2019-02-17
0,False,2019-02-24
32,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
100,False,2019-03-24
34,False,2019-03-31
0,False,2019-04-07
35,False,2019-04-14
35,False,2019-04-21
0,False,2019-04-28
67,False,2019-05-05
0,False,2019-05-12
69,False,2019-05-19
0,False,2019-05-26
32,False,2019-06-02
0,False,2019-06-09
51,False,2019-06-16
69,False,2019-06-23
35,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
35,False,2019-07-21
35,False,2019-07-28
35,False,2019-08-04
51,False,2019-08-11
34,False,2019-08-18
34,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
32,False,2019-09-22
32,False,2019-09-29
32,False,2019-10-06
0,False,2019-10-13
46,False,2019-10-20
0,False,2019-10-27
31,False,2019-11-03
45,False,2019-11-10
30,False,2019-11-17
0,False,2019-11-24
29,False,2019-12-01
60,False,2019-12-08
61,False,2019-12-15
69,False,2019-12-22
63,False,2019-12-29
0,False,2020-01-05
58,False,2020-01-12
0,False,2020-01-19
59,False,2020-01-26
85,False,2020-02-02
43,False,2020-02-09
56,False,2020-02-16
40,False,2020-02-23
55,False,2020-03-01
68,False,2020-03-08
54,False,2020-03-15
39,False,2020-03-22
39,False,2020-03-29
26,False,2020-04-05
49,False,2020-04-12
49,False,2020-04-19
49,False,2020-04-26
37,False,2020-05-03
25,False,2020-05-10
63,False,2020-05-17
0,False,2020-05-24
25,False,2020-05-31
89,False,2020-06-07
26,False,2020-06-14
27,False,2020-06-21
28,False,2020-06-28
28,False,2020-07-05
28,False,2020-07-12
55,False,2020-07-19
58,False,2020-07-26
86,False,2020-08-02
29,False,2020-08-09
44,False,2020-08-16
56,False,2020-08-23
55,False,2020-08-30
