how to kill yourself -ark -minecraft -rust,isPartial,date
0,False,2019-01-06
33,False,2019-01-13
33,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
33,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
32,False,2019-03-03
36,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
33,False,2019-03-31
34,False,2019-04-07
0,False,2019-04-14
69,False,2019-04-21
100,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
70,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
74,False,2019-06-09
36,False,2019-06-16
0,False,2019-06-23
38,False,2019-06-30
36,False,2019-07-07
74,False,2019-07-14
0,False,2019-07-21
75,False,2019-07-28
0,False,2019-08-04
35,False,2019-08-11
0,False,2019-08-18
32,False,2019-08-25
65,False,2019-09-01
0,False,2019-09-08
52,False,2019-09-15
32,False,2019-09-22
31,False,2019-09-29
32,False,2019-10-06
32,False,2019-10-13
96,False,2019-10-20
0,False,2019-10-27
32,False,2019-11-03
63,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
32,False,2019-12-08
32,False,2019-12-15
36,False,2019-12-22
0,False,2019-12-29
31,False,2020-01-05
0,False,2020-01-12
30,False,2020-01-19
60,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
30,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
59,False,2020-03-08
29,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
27,False,2020-04-05
26,False,2020-04-12
53,False,2020-04-19
0,False,2020-04-26
26,False,2020-05-03
27,False,2020-05-10
29,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
29,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
31,False,2020-06-28
30,False,2020-07-05
31,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
32,False,2020-08-02
32,False,2020-08-09
0,False,2020-08-16
30,False,2020-08-23
0,False,2020-08-30
