suicide attempt,isPartial,date
30,False,2019-01-06
30,False,2019-01-13
0,False,2019-01-20
59,False,2019-01-27
29,False,2019-02-03
28,False,2019-02-10
28,False,2019-02-17
28,False,2019-02-24
29,False,2019-03-03
31,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
31,False,2019-03-31
63,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
31,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
30,False,2019-06-02
46,False,2019-06-09
64,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
31,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
32,False,2019-07-28
32,False,2019-08-04
64,False,2019-08-11
32,False,2019-08-18
31,False,2019-08-25
0,False,2019-09-01
29,False,2019-09-08
59,False,2019-09-15
58,False,2019-09-22
29,False,2019-09-29
44,False,2019-10-06
29,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
28,False,2019-11-10
0,False,2019-11-17
88,False,2019-11-24
27,False,2019-12-01
28,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
29,False,2019-12-29
82,False,2020-01-05
27,False,2020-01-12
28,False,2020-01-19
27,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
52,False,2020-02-16
25,False,2020-02-23
51,False,2020-03-01
100,False,2020-03-08
0,False,2020-03-15
24,False,2020-03-22
0,False,2020-03-29
35,False,2020-04-05
23,False,2020-04-12
23,False,2020-04-19
23,False,2020-04-26
23,False,2020-05-03
23,False,2020-05-10
46,False,2020-05-17
24,False,2020-05-24
23,False,2020-05-31
0,False,2020-06-07
24,False,2020-06-14
25,False,2020-06-21
26,False,2020-06-28
25,False,2020-07-05
77,False,2020-07-12
51,False,2020-07-19
27,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
81,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
