commit suicide,isPartial,date
67,False,2019-01-06
69,False,2019-01-13
66,False,2019-01-20
69,False,2019-01-27
78,False,2019-02-03
77,False,2019-02-10
76,False,2019-02-17
99,False,2019-02-24
81,False,2019-03-03
73,False,2019-03-10
76,False,2019-03-17
79,False,2019-03-24
67,False,2019-03-31
62,False,2019-04-07
67,False,2019-04-14
73,False,2019-04-21
79,False,2019-04-28
77,False,2019-05-05
61,False,2019-05-12
69,False,2019-05-19
69,False,2019-05-26
66,False,2019-06-02
65,False,2019-06-09
60,False,2019-06-16
69,False,2019-06-23
50,False,2019-06-30
56,False,2019-07-07
54,False,2019-07-14
54,False,2019-07-21
62,False,2019-07-28
76,False,2019-08-04
100,False,2019-08-11
65,False,2019-08-18
57,False,2019-08-25
61,False,2019-09-01
86,False,2019-09-08
68,False,2019-09-15
64,False,2019-09-22
72,False,2019-09-29
66,False,2019-10-06
69,False,2019-10-13
71,False,2019-10-20
76,False,2019-10-27
80,False,2019-11-03
64,False,2019-11-10
64,False,2019-11-17
72,False,2019-11-24
72,False,2019-12-01
73,False,2019-12-08
54,False,2019-12-15
62,False,2019-12-22
71,False,2019-12-29
56,False,2020-01-05
65,False,2020-01-12
67,False,2020-01-19
66,False,2020-01-26
91,False,2020-02-02
63,False,2020-02-09
90,False,2020-02-16
86,False,2020-02-23
69,False,2020-03-01
68,False,2020-03-08
51,False,2020-03-15
57,False,2020-03-22
62,False,2020-03-29
55,False,2020-04-05
56,False,2020-04-12
63,False,2020-04-19
82,False,2020-04-26
65,False,2020-05-03
63,False,2020-05-10
59,False,2020-05-17
61,False,2020-05-24
97,False,2020-05-31
64,False,2020-06-07
80,False,2020-06-14
67,False,2020-06-21
73,False,2020-06-28
85,False,2020-07-05
78,False,2020-07-12
74,False,2020-07-19
60,False,2020-07-26
68,False,2020-08-02
55,False,2020-08-09
55,False,2020-08-16
56,False,2020-08-23
60,False,2020-08-30
