how to kill yourself -ark -minecraft -rust,isPartial,date
63,False,2019-01-06
31,False,2019-01-13
32,False,2019-01-20
62,False,2019-01-27
31,False,2019-02-03
44,False,2019-02-10
0,False,2019-02-17
74,False,2019-02-24
0,False,2019-03-03
48,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
32,False,2019-03-31
33,False,2019-04-07
33,False,2019-04-14
34,False,2019-04-21
33,False,2019-04-28
65,False,2019-05-05
65,False,2019-05-12
100,False,2019-05-19
49,False,2019-05-26
31,False,2019-06-02
64,False,2019-06-09
33,False,2019-06-16
33,False,2019-06-23
0,False,2019-06-30
33,False,2019-07-07
50,False,2019-07-14
67,False,2019-07-21
34,False,2019-07-28
0,False,2019-08-04
66,False,2019-08-11
50,False,2019-08-18
33,False,2019-08-25
31,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
31,False,2019-09-22
31,False,2019-09-29
0,False,2019-10-06
31,False,2019-10-13
30,False,2019-10-20
44,False,2019-10-27
30,False,2019-11-03
29,False,2019-11-10
59,False,2019-11-17
31,False,2019-11-24
28,False,2019-12-01
44,False,2019-12-08
0,False,2019-12-15
33,False,2019-12-22
30,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
29,False,2020-01-19
0,False,2020-01-26
55,False,2020-02-02
28,False,2020-02-09
0,False,2020-02-16
26,False,2020-02-23
40,False,2020-03-01
53,False,2020-03-08
26,False,2020-03-15
0,False,2020-03-22
25,False,2020-03-29
0,False,2020-04-05
48,False,2020-04-12
24,False,2020-04-19
48,False,2020-04-26
24,False,2020-05-03
25,False,2020-05-10
24,False,2020-05-17
50,False,2020-05-24
24,False,2020-05-31
37,False,2020-06-07
38,False,2020-06-14
0,False,2020-06-21
54,False,2020-06-28
0,False,2020-07-05
27,False,2020-07-12
27,False,2020-07-19
0,False,2020-07-26
41,False,2020-08-02
28,False,2020-08-09
28,False,2020-08-16
27,False,2020-08-23
26,False,2020-08-30
