suicide hotline,isPartial,date
94,False,2019-09-08
63,False,2019-09-15
71,False,2019-09-22
96,False,2019-09-29
67,False,2019-10-06
61,False,2019-10-13
35,False,2019-10-20
64,False,2019-10-27
61,False,2019-11-03
47,False,2019-11-10
53,False,2019-11-17
47,False,2019-11-24
69,False,2019-12-01
63,False,2019-12-08
72,False,2019-12-15
76,False,2019-12-22
56,False,2019-12-29
61,False,2020-01-05
65,False,2020-01-12
67,False,2020-01-19
66,False,2020-01-26
51,False,2020-02-02
66,False,2020-02-09
29,False,2020-02-16
77,False,2020-02-23
77,False,2020-03-01
63,False,2020-03-08
55,False,2020-03-15
54,False,2020-03-22
39,False,2020-03-29
59,False,2020-04-05
39,False,2020-04-12
39,False,2020-04-19
52,False,2020-04-26
46,False,2020-05-03
50,False,2020-05-10
51,False,2020-05-17
35,False,2020-05-24
20,False,2020-05-31
60,False,2020-06-07
68,False,2020-06-14
84,False,2020-06-21
100,False,2020-06-28
87,False,2020-07-05
22,False,2020-07-12
59,False,2020-07-19
44,False,2020-07-26
63,False,2020-08-02
61,False,2020-08-09
74,False,2020-08-16
60,False,2020-08-23
74,True,2020-08-30
