suicide by jumping,isPartial,date
56,False,2019-09-08
31,False,2019-09-15
38,False,2019-09-22
25,False,2019-09-29
38,False,2019-10-06
38,False,2019-10-13
37,False,2019-10-20
38,False,2019-10-27
19,False,2019-11-03
0,False,2019-11-10
19,False,2019-11-17
29,False,2019-11-24
24,False,2019-12-01
19,False,2019-12-08
19,False,2019-12-15
21,False,2019-12-22
30,False,2019-12-29
37,False,2020-01-05
35,False,2020-01-12
24,False,2020-01-19
27,False,2020-01-26
27,False,2020-02-02
27,False,2020-02-09
35,False,2020-02-16
26,False,2020-02-23
26,False,2020-03-01
17,False,2020-03-08
34,False,2020-03-15
22,False,2020-03-22
24,False,2020-03-29
16,False,2020-04-05
16,False,2020-04-12
21,False,2020-04-19
31,False,2020-04-26
47,False,2020-05-03
0,False,2020-05-10
22,False,2020-05-17
17,False,2020-05-24
24,False,2020-05-31
17,False,2020-06-07
17,False,2020-06-14
35,False,2020-06-21
18,False,2020-06-28
53,False,2020-07-05
18,False,2020-07-12
36,False,2020-07-19
27,False,2020-07-26
18,False,2020-08-02
18,False,2020-08-09
17,False,2020-08-16
17,False,2020-08-23
100,True,2020-08-30
