suicidality,isPartial,date
85,False,2019-09-08
77,False,2019-09-15
76,False,2019-09-22
71,False,2019-09-29
81,False,2019-10-06
81,False,2019-10-13
69,False,2019-10-20
61,False,2019-10-27
69,False,2019-11-03
92,False,2019-11-10
57,False,2019-11-17
40,False,2019-11-24
68,False,2019-12-01
62,False,2019-12-08
54,False,2019-12-15
30,False,2019-12-22
38,False,2019-12-29
45,False,2020-01-05
58,False,2020-01-12
49,False,2020-01-19
73,False,2020-01-26
73,False,2020-02-02
64,False,2020-02-09
68,False,2020-02-16
100,False,2020-02-23
75,False,2020-03-01
46,False,2020-03-08
54,False,2020-03-15
46,False,2020-03-22
59,False,2020-03-29
40,False,2020-04-05
67,False,2020-04-12
56,False,2020-04-19
61,False,2020-04-26
42,False,2020-05-03
31,False,2020-05-10
61,False,2020-05-17
45,False,2020-05-24
42,False,2020-05-31
40,False,2020-06-07
42,False,2020-06-14
53,False,2020-06-21
50,False,2020-06-28
63,False,2020-07-05
77,False,2020-07-12
44,False,2020-07-19
51,False,2020-07-26
48,False,2020-08-02
37,False,2020-08-09
71,False,2020-08-16
48,False,2020-08-23
71,True,2020-08-30
