suicide help,isPartial,date
35,False,2019-09-01
34,False,2019-09-08
34,False,2019-09-15
33,False,2019-09-22
35,False,2019-09-29
36,False,2019-10-06
70,False,2019-10-13
35,False,2019-10-20
54,False,2019-10-27
35,False,2019-11-03
66,False,2019-11-10
0,False,2019-11-17
34,False,2019-11-24
33,False,2019-12-01
35,False,2019-12-08
35,False,2019-12-15
0,False,2019-12-22
35,False,2019-12-29
49,False,2020-01-05
41,False,2020-01-12
33,False,2020-01-19
49,False,2020-01-26
54,False,2020-02-02
0,False,2020-02-09
100,False,2020-02-16
32,False,2020-02-23
46,False,2020-03-01
46,False,2020-03-08
0,False,2020-03-15
30,False,2020-03-22
0,False,2020-03-29
92,False,2020-04-05
30,False,2020-04-12
42,False,2020-04-19
28,False,2020-04-26
0,False,2020-05-03
29,False,2020-05-10
58,False,2020-05-17
45,False,2020-05-24
0,False,2020-05-31
55,False,2020-06-07
60,False,2020-06-14
31,False,2020-06-21
32,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
33,False,2020-07-19
33,False,2020-07-26
32,False,2020-08-02
33,False,2020-08-09
32,False,2020-08-16
0,True,2020-08-23
