how to kill yourself -ark -minecraft -rust,isPartial,date
57,False,2019-01-06
100,False,2019-01-13
34,False,2019-01-20
33,False,2019-01-27
33,False,2019-02-03
33,False,2019-02-10
32,False,2019-02-17
33,False,2019-02-24
57,False,2019-03-03
69,False,2019-03-10
69,False,2019-03-17
34,False,2019-03-24
34,False,2019-03-31
35,False,2019-04-07
35,False,2019-04-14
35,False,2019-04-21
35,False,2019-04-28
35,False,2019-05-05
71,False,2019-05-12
36,False,2019-05-19
74,False,2019-05-26
0,False,2019-06-02
72,False,2019-06-09
55,False,2019-06-16
36,False,2019-06-23
37,False,2019-06-30
49,False,2019-07-07
55,False,2019-07-14
37,False,2019-07-21
0,False,2019-07-28
35,False,2019-08-04
51,False,2019-08-11
51,False,2019-08-18
44,False,2019-08-25
0,False,2019-09-01
32,False,2019-09-08
64,False,2019-09-15
0,False,2019-09-22
33,False,2019-09-29
34,False,2019-10-06
33,False,2019-10-13
32,False,2019-10-20
64,False,2019-10-27
0,False,2019-11-03
47,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
32,False,2019-12-08
66,False,2019-12-15
0,False,2019-12-22
50,False,2019-12-29
31,False,2020-01-05
74,False,2020-01-12
45,False,2020-01-19
0,False,2020-01-26
49,False,2020-02-02
59,False,2020-02-09
29,False,2020-02-16
71,False,2020-02-23
86,False,2020-03-01
28,False,2020-03-08
0,False,2020-03-15
27,False,2020-03-22
53,False,2020-03-29
27,False,2020-04-05
26,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
44,False,2020-05-03
27,False,2020-05-10
37,False,2020-05-17
28,False,2020-05-24
27,False,2020-05-31
27,False,2020-06-07
27,False,2020-06-14
28,False,2020-06-21
0,False,2020-06-28
44,False,2020-07-05
30,False,2020-07-12
45,False,2020-07-19
30,False,2020-07-26
38,False,2020-08-02
82,False,2020-08-09
55,False,2020-08-16
41,False,2020-08-23
55,False,2020-08-30
