suicide help,isPartial,date
68,False,2019-09-01
100,False,2019-09-08
34,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
36,False,2019-10-06
34,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
33,False,2019-11-03
33,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
72,False,2019-12-22
34,False,2019-12-29
65,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
31,False,2020-01-26
0,False,2020-02-02
31,False,2020-02-09
30,False,2020-02-16
30,False,2020-02-23
44,False,2020-03-01
30,False,2020-03-08
0,False,2020-03-15
57,False,2020-03-22
28,False,2020-03-29
56,False,2020-04-05
0,False,2020-04-12
27,False,2020-04-19
28,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
28,False,2020-05-31
0,False,2020-06-07
29,False,2020-06-14
30,False,2020-06-21
61,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
31,False,2020-07-19
0,False,2020-07-26
30,False,2020-08-02
29,False,2020-08-09
29,False,2020-08-16
0,True,2020-08-23
