suicidal,isPartial,date
56,False,2019-09-22
41,False,2019-09-29
34,False,2019-10-06
66,False,2019-10-13
71,False,2019-10-20
49,False,2019-10-27
33,False,2019-11-03
79,False,2019-11-10
86,False,2019-11-17
34,False,2019-11-24
69,False,2019-12-01
86,False,2019-12-08
100,False,2019-12-15
86,False,2019-12-22
45,False,2019-12-29
74,False,2020-01-05
90,False,2020-01-12
100,False,2020-01-19
46,False,2020-01-26
81,False,2020-02-02
61,False,2020-02-09
69,False,2020-02-16
63,False,2020-02-23
83,False,2020-03-01
90,False,2020-03-08
68,False,2020-03-15
56,False,2020-03-22
51,False,2020-03-29
52,False,2020-04-05
74,False,2020-04-12
44,False,2020-04-19
32,False,2020-04-26
64,False,2020-05-03
56,False,2020-05-10
36,False,2020-05-17
51,False,2020-05-24
56,False,2020-05-31
41,False,2020-06-07
42,False,2020-06-14
39,False,2020-06-21
45,False,2020-06-28
65,False,2020-07-05
41,False,2020-07-12
51,False,2020-07-19
31,False,2020-07-26
62,False,2020-08-02
31,False,2020-08-09
62,False,2020-08-16
39,False,2020-08-23
44,False,2020-08-30
44,False,2020-09-06
55,True,2020-09-13
