how to kill yourself,isPartial,date
16,False,2019-09-08
24,False,2019-09-15
56,False,2019-09-22
32,False,2019-09-29
0,False,2019-10-06
71,False,2019-10-13
54,False,2019-10-20
16,False,2019-10-27
31,False,2019-11-03
15,False,2019-11-10
0,False,2019-11-17
32,False,2019-11-24
30,False,2019-12-01
62,False,2019-12-08
23,False,2019-12-15
40,False,2019-12-22
30,False,2019-12-29
29,False,2020-01-05
49,False,2020-01-12
51,False,2020-01-19
56,False,2020-01-26
0,False,2020-02-02
50,False,2020-02-09
27,False,2020-02-16
20,False,2020-02-23
34,False,2020-03-01
40,False,2020-03-08
13,False,2020-03-15
27,False,2020-03-22
26,False,2020-03-29
39,False,2020-04-05
32,False,2020-04-12
38,False,2020-04-19
52,False,2020-04-26
33,False,2020-05-03
13,False,2020-05-10
46,False,2020-05-17
27,False,2020-05-24
39,False,2020-05-31
40,False,2020-06-07
41,False,2020-06-14
42,False,2020-06-21
50,False,2020-06-28
51,False,2020-07-05
29,False,2020-07-12
29,False,2020-07-19
74,False,2020-07-26
15,False,2020-08-02
44,False,2020-08-09
51,False,2020-08-16
42,False,2020-08-23
100,True,2020-08-30
