painless suicide,isPartial,date
34,False,2015-09-20
32,False,2015-09-27
35,False,2015-10-04
26,False,2015-10-11
37,False,2015-10-18
23,False,2015-10-25
29,False,2015-11-01
32,False,2015-11-08
24,False,2015-11-15
25,False,2015-11-22
47,False,2015-11-29
32,False,2015-12-06
35,False,2015-12-13
37,False,2015-12-20
31,False,2015-12-27
32,False,2016-01-03
17,False,2016-01-10
31,False,2016-01-17
26,False,2016-01-24
37,False,2016-01-31
24,False,2016-02-07
24,False,2016-02-14
32,False,2016-02-21
25,False,2016-02-28
28,False,2016-03-06
26,False,2016-03-13
39,False,2016-03-20
34,False,2016-03-27
21,False,2016-04-03
26,False,2016-04-10
100,False,2016-04-17
28,False,2016-04-24
27,False,2016-05-01
30,False,2016-05-08
22,False,2016-05-15
25,False,2016-05-22
31,False,2016-05-29
23,False,2016-06-05
19,False,2016-06-12
19,False,2016-06-19
25,False,2016-06-26
42,False,2016-07-03
26,False,2016-07-10
25,False,2016-07-17
19,False,2016-07-24
33,False,2016-07-31
29,False,2016-08-07
26,False,2016-08-14
17,False,2016-08-21
32,False,2016-08-28
38,False,2016-09-04
30,False,2016-09-11
27,False,2016-09-18
23,False,2016-09-25
18,False,2016-10-02
29,False,2016-10-09
29,False,2016-10-16
27,False,2016-10-23
30,False,2016-10-30
29,False,2016-11-06
26,False,2016-11-13
23,False,2016-11-20
28,False,2016-11-27
24,False,2016-12-04
27,False,2016-12-11
32,False,2016-12-18
24,False,2016-12-25
30,False,2017-01-01
26,False,2017-01-08
23,False,2017-01-15
22,False,2017-01-22
26,False,2017-01-29
26,False,2017-02-05
26,False,2017-02-12
36,False,2017-02-19
31,False,2017-02-26
40,False,2017-03-05
31,False,2017-03-12
27,False,2017-03-19
35,False,2017-03-26
38,False,2017-04-02
39,False,2017-04-09
28,False,2017-04-16
25,False,2017-04-23
39,False,2017-04-30
31,False,2017-05-07
30,False,2017-05-14
37,False,2017-05-21
34,False,2017-05-28
22,False,2017-06-04
34,False,2017-06-11
41,False,2017-06-18
34,False,2017-06-25
34,False,2017-07-02
31,False,2017-07-09
25,False,2017-07-16
27,False,2017-07-23
34,False,2017-07-30
38,False,2017-08-06
33,False,2017-08-13
33,False,2017-08-20
43,False,2017-08-27
43,False,2017-09-03
38,False,2017-09-10
31,False,2017-09-17
24,False,2017-09-24
44,False,2017-10-01
33,False,2017-10-08
43,False,2017-10-15
36,False,2017-10-22
33,False,2017-10-29
22,False,2017-11-05
40,False,2017-11-12
45,False,2017-11-19
25,False,2017-11-26
33,False,2017-12-03
30,False,2017-12-10
32,False,2017-12-17
36,False,2017-12-24
43,False,2017-12-31
82,False,2018-01-07
47,False,2018-01-14
35,False,2018-01-21
40,False,2018-01-28
31,False,2018-02-04
37,False,2018-02-11
23,False,2018-02-18
26,False,2018-02-25
31,False,2018-03-04
34,False,2018-03-11
39,False,2018-03-18
26,False,2018-03-25
24,False,2018-04-01
28,False,2018-04-08
28,False,2018-04-15
34,False,2018-04-22
22,False,2018-04-29
30,False,2018-05-06
28,False,2018-05-13
26,False,2018-05-20
30,False,2018-05-27
32,False,2018-06-03
29,False,2018-06-10
25,False,2018-06-17
25,False,2018-06-24
28,False,2018-07-01
29,False,2018-07-08
33,False,2018-07-15
24,False,2018-07-22
25,False,2018-07-29
30,False,2018-08-05
27,False,2018-08-12
34,False,2018-08-19
37,False,2018-08-26
25,False,2018-09-02
