suicidal,isPartial,date
33,False,2019-01-06
32,False,2019-01-13
64,False,2019-01-20
29,False,2019-01-27
31,False,2019-02-03
71,False,2019-02-10
57,False,2019-02-17
32,False,2019-02-24
28,False,2019-03-03
42,False,2019-03-10
64,False,2019-03-17
42,False,2019-03-24
50,False,2019-03-31
43,False,2019-04-07
21,False,2019-04-14
28,False,2019-04-21
49,False,2019-04-28
36,False,2019-05-05
55,False,2019-05-12
41,False,2019-05-19
55,False,2019-05-26
53,False,2019-06-02
80,False,2019-06-09
26,False,2019-06-16
39,False,2019-06-23
40,False,2019-06-30
53,False,2019-07-07
46,False,2019-07-14
100,False,2019-07-21
21,False,2019-07-28
20,False,2019-08-04
26,False,2019-08-11
20,False,2019-08-18
81,False,2019-08-25
47,False,2019-09-01
27,False,2019-09-08
50,False,2019-09-15
40,False,2019-09-22
33,False,2019-09-29
47,False,2019-10-06
27,False,2019-10-13
60,False,2019-10-20
62,False,2019-10-27
41,False,2019-11-03
20,False,2019-11-10
27,False,2019-11-17
41,False,2019-11-24
20,False,2019-12-01
33,False,2019-12-08
20,False,2019-12-15
49,False,2019-12-22
26,False,2019-12-29
26,False,2020-01-05
19,False,2020-01-12
51,False,2020-01-19
67,False,2020-01-26
26,False,2020-02-02
56,False,2020-02-09
76,False,2020-02-16
28,False,2020-02-23
46,False,2020-03-01
30,False,2020-03-08
37,False,2020-03-15
18,False,2020-03-22
29,False,2020-03-29
29,False,2020-04-05
45,False,2020-04-12
27,False,2020-04-19
54,False,2020-04-26
40,False,2020-05-03
27,False,2020-05-10
39,False,2020-05-17
33,False,2020-05-24
45,False,2020-05-31
34,False,2020-06-07
35,False,2020-06-14
36,False,2020-06-21
29,False,2020-06-28
24,False,2020-07-05
36,False,2020-07-12
42,False,2020-07-19
18,False,2020-07-26
46,False,2020-08-02
36,False,2020-08-09
43,False,2020-08-16
37,False,2020-08-23
27,False,2020-08-30
