suicide -squad,isPartial,date
37,False,2015-09-20
39,False,2015-09-27
40,False,2015-10-04
35,False,2015-10-11
35,False,2015-10-18
35,False,2015-10-25
37,False,2015-11-01
40,False,2015-11-08
33,False,2015-11-15
20,False,2015-11-22
39,False,2015-11-29
36,False,2015-12-06
29,False,2015-12-13
38,False,2015-12-20
39,False,2015-12-27
44,False,2016-01-03
36,False,2016-01-10
23,False,2016-01-17
35,False,2016-01-24
31,False,2016-01-31
41,False,2016-02-07
41,False,2016-02-14
35,False,2016-02-21
31,False,2016-02-28
31,False,2016-03-06
36,False,2016-03-13
31,False,2016-03-20
47,False,2016-03-27
26,False,2016-04-03
33,False,2016-04-10
39,False,2016-04-17
32,False,2016-04-24
31,False,2016-05-01
33,False,2016-05-08
32,False,2016-05-15
24,False,2016-05-22
33,False,2016-05-29
22,False,2016-06-05
29,False,2016-06-12
27,False,2016-06-19
32,False,2016-06-26
34,False,2016-07-03
25,False,2016-07-10
25,False,2016-07-17
28,False,2016-07-24
35,False,2016-07-31
47,False,2016-08-07
36,False,2016-08-14
33,False,2016-08-21
31,False,2016-08-28
44,False,2016-09-04
40,False,2016-09-11
32,False,2016-09-18
37,False,2016-09-25
28,False,2016-10-02
35,False,2016-10-09
37,False,2016-10-16
40,False,2016-10-23
31,False,2016-10-30
27,False,2016-11-06
35,False,2016-11-13
25,False,2016-11-20
33,False,2016-11-27
36,False,2016-12-04
40,False,2016-12-11
25,False,2016-12-18
27,False,2016-12-25
37,False,2017-01-01
39,False,2017-01-08
33,False,2017-01-15
24,False,2017-01-22
25,False,2017-01-29
31,False,2017-02-05
30,False,2017-02-12
34,False,2017-02-19
32,False,2017-02-26
29,False,2017-03-05
26,False,2017-03-12
28,False,2017-03-19
33,False,2017-03-26
34,False,2017-04-02
33,False,2017-04-09
45,False,2017-04-16
46,False,2017-04-23
42,False,2017-04-30
35,False,2017-05-07
50,False,2017-05-14
41,False,2017-05-21
34,False,2017-05-28
29,False,2017-06-04
23,False,2017-06-11
31,False,2017-06-18
33,False,2017-06-25
34,False,2017-07-02
30,False,2017-07-09
41,False,2017-07-16
32,False,2017-07-23
36,False,2017-07-30
34,False,2017-08-06
29,False,2017-08-13
26,False,2017-08-20
33,False,2017-08-27
33,False,2017-09-03
36,False,2017-09-10
34,False,2017-09-17
32,False,2017-09-24
37,False,2017-10-01
34,False,2017-10-08
34,False,2017-10-15
32,False,2017-10-22
36,False,2017-10-29
36,False,2017-11-05
33,False,2017-11-12
32,False,2017-11-19
30,False,2017-11-26
34,False,2017-12-03
47,False,2017-12-10
29,False,2017-12-17
32,False,2017-12-24
84,False,2017-12-31
43,False,2018-01-07
39,False,2018-01-14
41,False,2018-01-21
40,False,2018-01-28
48,False,2018-02-04
34,False,2018-02-11
34,False,2018-02-18
37,False,2018-02-25
30,False,2018-03-04
28,False,2018-03-11
30,False,2018-03-18
27,False,2018-03-25
31,False,2018-04-01
30,False,2018-04-08
30,False,2018-04-15
35,False,2018-04-22
35,False,2018-04-29
29,False,2018-05-06
38,False,2018-05-13
28,False,2018-05-20
24,False,2018-05-27
100,False,2018-06-03
43,False,2018-06-10
38,False,2018-06-17
33,False,2018-06-24
36,False,2018-07-01
26,False,2018-07-08
31,False,2018-07-15
33,False,2018-07-22
30,False,2018-07-29
26,False,2018-08-05
29,False,2018-08-12
31,False,2018-08-19
32,False,2018-08-26
37,False,2018-09-02
36,False,2018-09-09
35,False,2018-09-16
32,False,2018-09-23
29,False,2018-09-30
34,False,2018-10-07
30,False,2018-10-14
26,False,2018-10-21
33,False,2018-10-28
28,False,2018-11-04
29,False,2018-11-11
25,False,2018-11-18
25,False,2018-11-25
35,False,2018-12-02
35,False,2018-12-09
36,False,2018-12-16
30,False,2018-12-23
27,False,2018-12-30
26,False,2019-01-06
29,False,2019-01-13
24,False,2019-01-20
34,False,2019-01-27
33,False,2019-02-03
28,False,2019-02-10
31,False,2019-02-17
