how to commit suicide,isPartial,date
0,False,2019-09-08
82,False,2019-09-15
0,False,2019-09-22
42,False,2019-09-29
43,False,2019-10-06
84,False,2019-10-13
42,False,2019-10-20
0,False,2019-10-27
83,False,2019-11-03
80,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
41,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
42,False,2019-12-29
38,False,2020-01-05
37,False,2020-01-12
40,False,2020-01-19
0,False,2020-01-26
39,False,2020-02-02
0,False,2020-02-09
79,False,2020-02-16
38,False,2020-02-23
0,False,2020-03-01
73,False,2020-03-08
0,False,2020-03-15
35,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
50,False,2020-04-19
33,False,2020-04-26
34,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
71,False,2020-05-24
0,False,2020-05-31
100,False,2020-06-07
35,False,2020-06-14
0,False,2020-06-21
38,False,2020-06-28
38,False,2020-07-05
39,False,2020-07-12
39,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
