suicide prevention,isPartial,date
17,False,2019-08-25
57,False,2019-09-01
100,False,2019-09-08
50,False,2019-09-15
25,False,2019-09-22
25,False,2019-09-29
68,False,2019-10-06
17,False,2019-10-13
28,False,2019-10-20
17,False,2019-10-27
33,False,2019-11-03
25,False,2019-11-10
33,False,2019-11-17
18,False,2019-11-24
33,False,2019-12-01
17,False,2019-12-08
17,False,2019-12-15
19,False,2019-12-22
27,False,2019-12-29
17,False,2020-01-05
16,False,2020-01-12
24,False,2020-01-19
16,False,2020-01-26
16,False,2020-02-02
16,False,2020-02-09
24,False,2020-02-16
16,False,2020-02-23
23,False,2020-03-01
16,False,2020-03-08
31,False,2020-03-15
30,False,2020-03-22
14,False,2020-03-29
14,False,2020-04-05
20,False,2020-04-12
14,False,2020-04-19
14,False,2020-04-26
23,False,2020-05-03
24,False,2020-05-10
23,False,2020-05-17
39,False,2020-05-24
16,False,2020-05-31
15,False,2020-06-07
16,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
16,False,2020-07-05
16,False,2020-07-12
22,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
17,False,2020-08-09
44,True,2020-08-16
