how to overdose,isPartial,date
48,False,2019-09-08
49,False,2019-09-15
49,False,2019-09-22
73,False,2019-09-29
50,False,2019-10-06
50,False,2019-10-13
50,False,2019-10-20
49,False,2019-10-27
98,False,2019-11-03
48,False,2019-11-10
48,False,2019-11-17
52,False,2019-11-24
96,False,2019-12-01
48,False,2019-12-08
75,False,2019-12-15
56,False,2019-12-22
52,False,2019-12-29
48,False,2020-01-05
45,False,2020-01-12
92,False,2020-01-19
46,False,2020-01-26
46,False,2020-02-02
47,False,2020-02-09
0,False,2020-02-16
88,False,2020-02-23
45,False,2020-03-01
69,False,2020-03-08
45,False,2020-03-15
0,False,2020-03-22
41,False,2020-03-29
0,False,2020-04-05
40,False,2020-04-12
0,False,2020-04-19
42,False,2020-04-26
41,False,2020-05-03
0,False,2020-05-10
44,False,2020-05-17
90,False,2020-05-24
0,False,2020-05-31
68,False,2020-06-07
92,False,2020-06-14
48,False,2020-06-21
49,False,2020-06-28
0,False,2020-07-05
47,False,2020-07-12
0,False,2020-07-19
49,False,2020-07-26
100,False,2020-08-02
49,False,2020-08-09
0,False,2020-08-16
47,False,2020-08-23
0,True,2020-08-30
