suicide prevention,isPartial,date
14,False,2019-08-25
31,False,2019-09-01
100,False,2019-09-08
37,False,2019-09-15
22,False,2019-09-22
28,False,2019-09-29
13,False,2019-10-06
28,False,2019-10-13
14,False,2019-10-20
28,False,2019-10-27
15,False,2019-11-03
9,False,2019-11-10
15,False,2019-11-17
34,False,2019-11-24
17,False,2019-12-01
9,False,2019-12-08
18,False,2019-12-15
10,False,2019-12-22
28,False,2019-12-29
9,False,2020-01-05
14,False,2020-01-12
9,False,2020-01-19
38,False,2020-01-26
21,False,2020-02-02
11,False,2020-02-09
8,False,2020-02-16
8,False,2020-02-23
16,False,2020-03-01
14,False,2020-03-08
11,False,2020-03-15
10,False,2020-03-22
8,False,2020-03-29
15,False,2020-04-05
19,False,2020-04-12
7,False,2020-04-19
15,False,2020-04-26
19,False,2020-05-03
8,False,2020-05-10
13,False,2020-05-17
29,False,2020-05-24
12,False,2020-05-31
16,False,2020-06-07
10,False,2020-06-14
8,False,2020-06-21
17,False,2020-06-28
17,False,2020-07-05
20,False,2020-07-12
17,False,2020-07-19
21,False,2020-07-26
24,False,2020-08-02
16,False,2020-08-09
20,True,2020-08-16
