suicidal,isPartial,date
40,False,2019-09-08
67,False,2019-09-15
40,False,2019-09-22
40,False,2019-09-29
48,False,2019-10-06
41,False,2019-10-13
41,False,2019-10-20
50,False,2019-10-27
74,False,2019-11-03
33,False,2019-11-10
40,False,2019-11-17
50,False,2019-11-24
46,False,2019-12-01
50,False,2019-12-08
48,False,2019-12-15
46,False,2019-12-22
57,False,2019-12-29
60,False,2020-01-05
100,False,2020-01-12
77,False,2020-01-19
32,False,2020-01-26
38,False,2020-02-02
64,False,2020-02-09
32,False,2020-02-16
92,False,2020-02-23
56,False,2020-03-01
50,False,2020-03-08
62,False,2020-03-15
53,False,2020-03-22
51,False,2020-03-29
70,False,2020-04-05
54,False,2020-04-12
50,False,2020-04-19
74,False,2020-04-26
62,False,2020-05-03
29,False,2020-05-10
45,False,2020-05-17
25,False,2020-05-24
50,False,2020-05-31
44,False,2020-06-07
57,False,2020-06-14
30,False,2020-06-21
47,False,2020-06-28
29,False,2020-07-05
46,False,2020-07-12
70,False,2020-07-19
41,False,2020-07-26
27,False,2020-08-02
27,False,2020-08-09
47,False,2020-08-16
45,False,2020-08-23
0,True,2020-08-30
