suicide -squad,isPartial,date
55,False,2019-09-22
50,False,2019-09-29
62,False,2019-10-06
60,False,2019-10-13
55,False,2019-10-20
63,False,2019-10-27
61,False,2019-11-03
62,False,2019-11-10
45,False,2019-11-17
54,False,2019-11-24
62,False,2019-12-01
44,False,2019-12-08
36,False,2019-12-15
38,False,2019-12-22
34,False,2019-12-29
43,False,2020-01-05
54,False,2020-01-12
39,False,2020-01-19
47,False,2020-01-26
40,False,2020-02-02
51,False,2020-02-09
61,False,2020-02-16
50,False,2020-02-23
48,False,2020-03-01
36,False,2020-03-08
35,False,2020-03-15
41,False,2020-03-22
47,False,2020-03-29
48,False,2020-04-05
43,False,2020-04-12
41,False,2020-04-19
56,False,2020-04-26
51,False,2020-05-03
40,False,2020-05-10
46,False,2020-05-17
38,False,2020-05-24
46,False,2020-05-31
36,False,2020-06-07
53,False,2020-06-14
50,False,2020-06-21
46,False,2020-06-28
33,False,2020-07-05
51,False,2020-07-12
33,False,2020-07-19
30,False,2020-07-26
39,False,2020-08-02
40,False,2020-08-09
52,False,2020-08-16
58,False,2020-08-23
61,False,2020-08-30
100,False,2020-09-06
47,True,2020-09-13
