delusional,isPartial,date
0,False,2019-08-25
36,False,2019-09-01
35,False,2019-09-08
35,False,2019-09-15
36,False,2019-09-22
0,False,2019-09-29
36,False,2019-10-06
37,False,2019-10-13
36,False,2019-10-20
0,False,2019-10-27
35,False,2019-11-03
35,False,2019-11-10
35,False,2019-11-17
38,False,2019-11-24
35,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
41,False,2019-12-22
50,False,2019-12-29
88,False,2020-01-05
33,False,2020-01-12
34,False,2020-01-19
50,False,2020-01-26
34,False,2020-02-02
34,False,2020-02-09
67,False,2020-02-16
33,False,2020-02-23
66,False,2020-03-01
33,False,2020-03-08
33,False,2020-03-15
32,False,2020-03-22
30,False,2020-03-29
0,False,2020-04-05
29,False,2020-04-12
29,False,2020-04-19
45,False,2020-04-26
30,False,2020-05-03
31,False,2020-05-10
0,False,2020-05-17
99,False,2020-05-24
33,False,2020-05-31
33,False,2020-06-07
100,False,2020-06-14
35,False,2020-06-21
36,False,2020-06-28
67,False,2020-07-05
35,False,2020-07-12
35,False,2020-07-19
36,False,2020-07-26
36,False,2020-08-02
36,False,2020-08-09
0,True,2020-08-16
