hallucination,isPartial,date
32,False,2019-08-25
32,False,2019-09-01
31,False,2019-09-08
61,False,2019-09-15
46,False,2019-09-22
48,False,2019-09-29
33,False,2019-10-06
32,False,2019-10-13
95,False,2019-10-20
82,False,2019-10-27
63,False,2019-11-03
30,False,2019-11-10
40,False,2019-11-17
47,False,2019-11-24
30,False,2019-12-01
47,False,2019-12-08
31,False,2019-12-15
34,False,2019-12-22
48,False,2019-12-29
73,False,2020-01-05
28,False,2020-01-12
60,False,2020-01-19
44,False,2020-01-26
58,False,2020-02-02
40,False,2020-02-09
45,False,2020-02-16
38,False,2020-02-23
28,False,2020-03-01
0,False,2020-03-08
56,False,2020-03-15
54,False,2020-03-22
27,False,2020-03-29
0,False,2020-04-05
54,False,2020-04-12
51,False,2020-04-19
76,False,2020-04-26
26,False,2020-05-03
26,False,2020-05-10
66,False,2020-05-17
27,False,2020-05-24
25,False,2020-05-31
51,False,2020-06-07
81,False,2020-06-14
28,False,2020-06-21
100,False,2020-06-28
29,False,2020-07-05
60,False,2020-07-12
60,False,2020-07-19
59,False,2020-07-26
29,False,2020-08-02
30,False,2020-08-09
51,True,2020-08-16
