paranoia,isPartial,date
89,False,2019-09-08
46,False,2019-09-15
44,False,2019-09-22
46,False,2019-09-29
0,False,2019-10-06
47,False,2019-10-13
46,False,2019-10-20
46,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
92,False,2019-12-01
47,False,2019-12-08
95,False,2019-12-15
0,False,2019-12-22
96,False,2019-12-29
46,False,2020-01-05
44,False,2020-01-12
93,False,2020-01-19
45,False,2020-01-26
44,False,2020-02-02
0,False,2020-02-09
62,False,2020-02-16
64,False,2020-02-23
43,False,2020-03-01
42,False,2020-03-08
100,False,2020-03-15
39,False,2020-03-22
0,False,2020-03-29
38,False,2020-04-05
55,False,2020-04-12
0,False,2020-04-19
36,False,2020-04-26
0,False,2020-05-03
38,False,2020-05-10
0,False,2020-05-17
39,False,2020-05-24
38,False,2020-05-31
58,False,2020-06-07
41,False,2020-06-14
40,False,2020-06-21
40,False,2020-06-28
59,False,2020-07-05
41,False,2020-07-12
41,False,2020-07-19
66,False,2020-07-26
80,False,2020-08-02
0,False,2020-08-09
40,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
