hallucinate,isPartial,date
24,False,2019-08-25
23,False,2019-09-01
0,False,2019-09-08
45,False,2019-09-15
0,False,2019-09-22
23,False,2019-09-29
36,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
24,False,2019-10-27
35,False,2019-11-03
45,False,2019-11-10
22,False,2019-11-17
23,False,2019-11-24
0,False,2019-12-01
23,False,2019-12-08
0,False,2019-12-15
38,False,2019-12-22
70,False,2019-12-29
21,False,2020-01-05
20,False,2020-01-12
0,False,2020-01-19
22,False,2020-01-26
22,False,2020-02-02
22,False,2020-02-09
45,False,2020-02-16
21,False,2020-02-23
41,False,2020-03-01
20,False,2020-03-08
20,False,2020-03-15
0,False,2020-03-22
19,False,2020-03-29
100,False,2020-04-05
0,False,2020-04-12
19,False,2020-04-19
38,False,2020-04-26
19,False,2020-05-03
0,False,2020-05-10
19,False,2020-05-17
20,False,2020-05-24
37,False,2020-05-31
28,False,2020-06-07
20,False,2020-06-14
21,False,2020-06-21
42,False,2020-06-28
21,False,2020-07-05
22,False,2020-07-12
33,False,2020-07-19
21,False,2020-07-26
21,False,2020-08-02
44,False,2020-08-09
37,True,2020-08-16
