delusional,isPartial,date
39,False,2019-09-08
30,False,2019-09-15
59,False,2019-09-22
31,False,2019-09-29
84,False,2019-10-06
46,False,2019-10-13
31,False,2019-10-20
63,False,2019-10-27
61,False,2019-11-03
58,False,2019-11-10
73,False,2019-11-17
60,False,2019-11-24
100,False,2019-12-01
60,False,2019-12-08
40,False,2019-12-15
44,False,2019-12-22
77,False,2019-12-29
98,False,2020-01-05
63,False,2020-01-12
39,False,2020-01-19
98,False,2020-01-26
66,False,2020-02-02
57,False,2020-02-09
77,False,2020-02-16
82,False,2020-02-23
67,False,2020-03-01
62,False,2020-03-08
53,False,2020-03-15
91,False,2020-03-22
26,False,2020-03-29
61,False,2020-04-05
90,False,2020-04-12
62,False,2020-04-19
66,False,2020-04-26
25,False,2020-05-03
59,False,2020-05-10
51,False,2020-05-17
78,False,2020-05-24
36,False,2020-05-31
61,False,2020-06-07
39,False,2020-06-14
72,False,2020-06-21
27,False,2020-06-28
84,False,2020-07-05
43,False,2020-07-12
43,False,2020-07-19
66,False,2020-07-26
38,False,2020-08-02
57,False,2020-08-09
55,False,2020-08-16
70,False,2020-08-23
0,True,2020-08-30
