hallucination,isPartial,date
31,False,2019-09-08
31,False,2019-09-15
31,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
63,False,2019-10-13
31,False,2019-10-20
52,False,2019-10-27
100,False,2019-11-03
30,False,2019-11-10
30,False,2019-11-17
0,False,2019-11-24
30,False,2019-12-01
31,False,2019-12-08
0,False,2019-12-15
66,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
57,False,2020-01-12
44,False,2020-01-19
29,False,2020-01-26
57,False,2020-02-02
43,False,2020-02-09
28,False,2020-02-16
27,False,2020-02-23
0,False,2020-03-01
27,False,2020-03-08
0,False,2020-03-15
26,False,2020-03-22
25,False,2020-03-29
39,False,2020-04-05
25,False,2020-04-12
33,False,2020-04-19
25,False,2020-04-26
38,False,2020-05-03
44,False,2020-05-10
35,False,2020-05-17
27,False,2020-05-24
25,False,2020-05-31
26,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
28,False,2020-06-28
28,False,2020-07-05
28,False,2020-07-12
0,False,2020-07-19
43,False,2020-07-26
0,False,2020-08-02
26,False,2020-08-09
53,False,2020-08-16
39,False,2020-08-23
0,True,2020-08-30
