delusional,isPartial,date
0,False,2019-08-25
48,False,2019-09-01
47,False,2019-09-08
48,False,2019-09-15
0,False,2019-09-22
49,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
73,False,2019-10-20
0,False,2019-10-27
49,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
49,False,2019-12-01
100,False,2019-12-08
50,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
49,False,2020-01-05
0,False,2020-01-12
49,False,2020-01-19
48,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
43,False,2020-03-15
0,False,2020-03-22
39,False,2020-03-29
40,False,2020-04-05
39,False,2020-04-12
40,False,2020-04-19
39,False,2020-04-26
0,False,2020-05-03
40,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
41,False,2020-06-07
44,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
43,False,2020-07-19
0,False,2020-07-26
43,False,2020-08-02
42,False,2020-08-09
0,True,2020-08-16
