paranoia,isPartial,date
46,False,2019-09-08
62,False,2019-09-15
73,False,2019-09-22
47,False,2019-09-29
53,False,2019-10-06
0,False,2019-10-13
46,False,2019-10-20
52,False,2019-10-27
31,False,2019-11-03
60,False,2019-11-10
82,False,2019-11-17
32,False,2019-11-24
50,False,2019-12-01
62,False,2019-12-08
47,False,2019-12-15
34,False,2019-12-22
96,False,2019-12-29
30,False,2020-01-05
28,False,2020-01-12
70,False,2020-01-19
68,False,2020-01-26
100,False,2020-02-02
29,False,2020-02-09
42,False,2020-02-16
42,False,2020-02-23
27,False,2020-03-01
66,False,2020-03-08
28,False,2020-03-15
44,False,2020-03-22
40,False,2020-03-29
80,False,2020-04-05
92,False,2020-04-12
75,False,2020-04-19
78,False,2020-04-26
52,False,2020-05-03
79,False,2020-05-10
43,False,2020-05-17
35,False,2020-05-24
53,False,2020-05-31
52,False,2020-06-07
45,False,2020-06-14
55,False,2020-06-21
29,False,2020-06-28
86,False,2020-07-05
39,False,2020-07-12
58,False,2020-07-19
88,False,2020-07-26
29,False,2020-08-02
87,False,2020-08-09
39,False,2020-08-16
47,False,2020-08-23
0,True,2020-08-30
