hallucination,isPartial,date
51,False,2019-09-08
51,False,2019-09-15
51,False,2019-09-22
50,False,2019-09-29
0,False,2019-10-06
51,False,2019-10-13
50,False,2019-10-20
0,False,2019-10-27
50,False,2019-11-03
48,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
100,False,2019-12-08
51,False,2019-12-15
56,False,2019-12-22
0,False,2019-12-29
96,False,2020-01-05
0,False,2020-01-12
97,False,2020-01-19
47,False,2020-01-26
46,False,2020-02-02
47,False,2020-02-09
46,False,2020-02-16
45,False,2020-02-23
44,False,2020-03-01
46,False,2020-03-08
90,False,2020-03-15
0,False,2020-03-22
43,False,2020-03-29
43,False,2020-04-05
63,False,2020-04-12
41,False,2020-04-19
63,False,2020-04-26
84,False,2020-05-03
85,False,2020-05-10
42,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
46,False,2020-06-28
93,False,2020-07-05
47,False,2020-07-12
47,False,2020-07-19
95,False,2020-07-26
47,False,2020-08-02
47,False,2020-08-09
47,False,2020-08-16
90,False,2020-08-23
0,True,2020-08-30
