medication for anxiety,isPartial,date
98,False,2019-08-11
88,False,2019-08-18
85,False,2019-08-25
85,False,2019-09-01
97,False,2019-09-08
86,False,2019-09-15
92,False,2019-09-22
85,False,2019-09-29
98,False,2019-10-06
91,False,2019-10-13
87,False,2019-10-20
86,False,2019-10-27
87,False,2019-11-03
79,False,2019-11-10
86,False,2019-11-17
75,False,2019-11-24
76,False,2019-12-01
80,False,2019-12-08
71,False,2019-12-15
62,False,2019-12-22
84,False,2019-12-29
86,False,2020-01-05
85,False,2020-01-12
98,False,2020-01-19
91,False,2020-01-26
81,False,2020-02-02
77,False,2020-02-09
79,False,2020-02-16
83,False,2020-02-23
85,False,2020-03-01
74,False,2020-03-08
59,False,2020-03-15
60,False,2020-03-22
61,False,2020-03-29
59,False,2020-04-05
66,False,2020-04-12
76,False,2020-04-19
63,False,2020-04-26
73,False,2020-05-03
58,False,2020-05-10
73,False,2020-05-17
72,False,2020-05-24
78,False,2020-05-31
80,False,2020-06-07
100,False,2020-06-14
84,False,2020-06-21
84,False,2020-06-28
98,False,2020-07-05
88,False,2020-07-12
82,False,2020-07-19
77,False,2020-07-26
75,True,2020-08-02
