best medication for anxiety,isPartial,date
59,False,2019-08-11
79,False,2019-08-18
77,False,2019-08-25
62,False,2019-09-01
61,False,2019-09-08
41,False,2019-09-15
68,False,2019-09-22
84,False,2019-09-29
42,False,2019-10-06
78,False,2019-10-13
48,False,2019-10-20
51,False,2019-10-27
64,False,2019-11-03
62,False,2019-11-10
64,False,2019-11-17
56,False,2019-11-24
80,False,2019-12-01
63,False,2019-12-08
48,False,2019-12-15
44,False,2019-12-22
47,False,2019-12-29
75,False,2020-01-05
57,False,2020-01-12
84,False,2020-01-19
95,False,2020-01-26
100,False,2020-02-02
82,False,2020-02-09
75,False,2020-02-16
74,False,2020-02-23
55,False,2020-03-01
70,False,2020-03-08
52,False,2020-03-15
48,False,2020-03-22
49,False,2020-03-29
47,False,2020-04-05
46,False,2020-04-12
51,False,2020-04-19
65,False,2020-04-26
56,False,2020-05-03
55,False,2020-05-10
55,False,2020-05-17
54,False,2020-05-24
39,False,2020-05-31
74,False,2020-06-07
79,False,2020-06-14
65,False,2020-06-21
51,False,2020-06-28
63,False,2020-07-05
88,False,2020-07-12
64,False,2020-07-19
61,False,2020-07-26
43,True,2020-08-02
