anxiety disorder medication,isPartial,date
44,False,2019-08-11
33,False,2019-08-18
48,False,2019-08-25
59,False,2019-09-01
77,False,2019-09-08
43,False,2019-09-15
71,False,2019-09-22
59,False,2019-09-29
50,False,2019-10-06
93,False,2019-10-13
100,False,2019-10-20
58,False,2019-10-27
73,False,2019-11-03
56,False,2019-11-10
58,False,2019-11-17
48,False,2019-11-24
50,False,2019-12-01
75,False,2019-12-08
59,False,2019-12-15
35,False,2019-12-22
39,False,2019-12-29
54,False,2020-01-05
43,False,2020-01-12
69,False,2020-01-19
70,False,2020-01-26
87,False,2020-02-02
81,False,2020-02-09
72,False,2020-02-16
65,False,2020-02-23
86,False,2020-03-01
67,False,2020-03-08
44,False,2020-03-15
40,False,2020-03-22
55,False,2020-03-29
61,False,2020-04-05
28,False,2020-04-12
56,False,2020-04-19
59,False,2020-04-26
57,False,2020-05-03
79,False,2020-05-10
50,False,2020-05-17
44,False,2020-05-24
32,False,2020-05-31
51,False,2020-06-07
50,False,2020-06-14
53,False,2020-06-21
52,False,2020-06-28
75,False,2020-07-05
52,False,2020-07-12
67,False,2020-07-19
47,False,2020-07-26
47,True,2020-08-02
