medication for depression and anxiety,isPartial,date
43,False,2019-08-11
47,False,2019-08-18
43,False,2019-08-25
52,False,2019-09-01
51,False,2019-09-08
29,False,2019-09-15
49,False,2019-09-22
35,False,2019-09-29
64,False,2019-10-06
42,False,2019-10-13
63,False,2019-10-20
47,False,2019-10-27
46,False,2019-11-03
54,False,2019-11-10
29,False,2019-11-17
46,False,2019-11-24
61,False,2019-12-01
58,False,2019-12-08
37,False,2019-12-15
44,False,2019-12-22
36,False,2019-12-29
62,False,2020-01-05
45,False,2020-01-12
52,False,2020-01-19
35,False,2020-01-26
53,False,2020-02-02
60,False,2020-02-09
48,False,2020-02-16
54,False,2020-02-23
51,False,2020-03-01
64,False,2020-03-08
24,False,2020-03-15
32,False,2020-03-22
33,False,2020-03-29
19,False,2020-04-05
31,False,2020-04-12
53,False,2020-04-19
39,False,2020-04-26
35,False,2020-05-03
57,False,2020-05-10
30,False,2020-05-17
33,False,2020-05-24
25,False,2020-05-31
32,False,2020-06-07
38,False,2020-06-14
47,False,2020-06-21
51,False,2020-06-28
44,False,2020-07-05
44,False,2020-07-12
30,False,2020-07-19
44,False,2020-07-26
100,True,2020-08-02
