depression and anxiety medication,isPartial,date
81,False,2019-08-11
53,False,2019-08-18
54,False,2019-08-25
84,False,2019-09-01
79,False,2019-09-08
69,False,2019-09-15
83,False,2019-09-22
95,False,2019-09-29
93,False,2019-10-06
100,False,2019-10-13
98,False,2019-10-20
52,False,2019-10-27
66,False,2019-11-03
65,False,2019-11-10
71,False,2019-11-17
72,False,2019-11-24
81,False,2019-12-01
73,False,2019-12-08
75,False,2019-12-15
81,False,2019-12-22
81,False,2019-12-29
70,False,2020-01-05
78,False,2020-01-12
70,False,2020-01-19
71,False,2020-01-26
63,False,2020-02-02
87,False,2020-02-09
82,False,2020-02-16
46,False,2020-02-23
92,False,2020-03-01
61,False,2020-03-08
47,False,2020-03-15
63,False,2020-03-22
42,False,2020-03-29
47,False,2020-04-05
69,False,2020-04-12
52,False,2020-04-19
72,False,2020-04-26
60,False,2020-05-03
53,False,2020-05-10
66,False,2020-05-17
64,False,2020-05-24
72,False,2020-05-31
66,False,2020-06-07
68,False,2020-06-14
62,False,2020-06-21
70,False,2020-06-28
93,False,2020-07-05
96,False,2020-07-12
80,False,2020-07-19
81,False,2020-07-26
51,True,2020-08-02
