anxiety medications,isPartial,date
81,False,2019-08-11
88,False,2019-08-18
76,False,2019-08-25
87,False,2019-09-01
88,False,2019-09-08
99,False,2019-09-15
87,False,2019-09-22
80,False,2019-09-29
95,False,2019-10-06
99,False,2019-10-13
82,False,2019-10-20
73,False,2019-10-27
75,False,2019-11-03
76,False,2019-11-10
99,False,2019-11-17
50,False,2019-11-24
85,False,2019-12-01
81,False,2019-12-08
81,False,2019-12-15
68,False,2019-12-22
68,False,2019-12-29
78,False,2020-01-05
74,False,2020-01-12
100,False,2020-01-19
85,False,2020-01-26
72,False,2020-02-02
92,False,2020-02-09
97,False,2020-02-16
88,False,2020-02-23
91,False,2020-03-01
77,False,2020-03-08
55,False,2020-03-15
58,False,2020-03-22
63,False,2020-03-29
74,False,2020-04-05
55,False,2020-04-12
67,False,2020-04-19
74,False,2020-04-26
86,False,2020-05-03
89,False,2020-05-10
62,False,2020-05-17
57,False,2020-05-24
54,False,2020-05-31
70,False,2020-06-07
71,False,2020-06-14
69,False,2020-06-21
66,False,2020-06-28
70,False,2020-07-05
63,False,2020-07-12
86,False,2020-07-19
65,False,2020-07-26
75,True,2020-08-02
