lexapro,isPartial,date
94,False,2019-08-11
91,False,2019-08-18
94,False,2019-08-25
84,False,2019-09-01
87,False,2019-09-08
88,False,2019-09-15
92,False,2019-09-22
92,False,2019-09-29
93,False,2019-10-06
94,False,2019-10-13
93,False,2019-10-20
94,False,2019-10-27
97,False,2019-11-03
90,False,2019-11-10
96,False,2019-11-17
78,False,2019-11-24
86,False,2019-12-01
83,False,2019-12-08
85,False,2019-12-15
76,False,2019-12-22
84,False,2019-12-29
87,False,2020-01-05
96,False,2020-01-12
96,False,2020-01-19
100,False,2020-01-26
95,False,2020-02-02
95,False,2020-02-09
93,False,2020-02-16
95,False,2020-02-23
92,False,2020-03-01
82,False,2020-03-08
67,False,2020-03-15
73,False,2020-03-22
67,False,2020-03-29
73,False,2020-04-05
75,False,2020-04-12
70,False,2020-04-19
71,False,2020-04-26
73,False,2020-05-03
80,False,2020-05-10
81,False,2020-05-17
81,False,2020-05-24
79,False,2020-05-31
83,False,2020-06-07
85,False,2020-06-14
91,False,2020-06-21
83,False,2020-06-28
93,False,2020-07-05
89,False,2020-07-12
92,False,2020-07-19
94,False,2020-07-26
82,True,2020-08-02
