depression anxiety medication,isPartial,date
83,False,2019-08-11
69,False,2019-08-18
84,False,2019-08-25
69,False,2019-09-01
56,False,2019-09-08
52,False,2019-09-15
77,False,2019-09-22
66,False,2019-09-29
92,False,2019-10-06
87,False,2019-10-13
100,False,2019-10-20
76,False,2019-10-27
75,False,2019-11-03
69,False,2019-11-10
68,False,2019-11-17
72,False,2019-11-24
81,False,2019-12-01
81,False,2019-12-08
53,False,2019-12-15
74,False,2019-12-22
88,False,2019-12-29
97,False,2020-01-05
95,False,2020-01-12
67,False,2020-01-19
74,False,2020-01-26
79,False,2020-02-02
93,False,2020-02-09
73,False,2020-02-16
71,False,2020-02-23
76,False,2020-03-01
70,False,2020-03-08
42,False,2020-03-15
56,False,2020-03-22
53,False,2020-03-29
48,False,2020-04-05
78,False,2020-04-12
57,False,2020-04-19
58,False,2020-04-26
65,False,2020-05-03
70,False,2020-05-10
55,False,2020-05-17
63,False,2020-05-24
59,False,2020-05-31
77,False,2020-06-07
74,False,2020-06-14
85,False,2020-06-21
63,False,2020-06-28
63,False,2020-07-05
73,False,2020-07-12
58,False,2020-07-19
84,False,2020-07-26
69,True,2020-08-02
