anxiety and depression medication,isPartial,date
77,False,2019-05-26
60,False,2019-06-02
75,False,2019-06-09
78,False,2019-06-16
59,False,2019-06-23
40,False,2019-06-30
58,False,2019-07-07
78,False,2019-07-14
62,False,2019-07-21
77,False,2019-07-28
84,False,2019-08-04
81,False,2019-08-11
59,False,2019-08-18
82,False,2019-08-25
61,False,2019-09-01
42,False,2019-09-08
57,False,2019-09-15
68,False,2019-09-22
53,False,2019-09-29
81,False,2019-10-06
100,False,2019-10-13
88,False,2019-10-20
40,False,2019-10-27
68,False,2019-11-03
71,False,2019-11-10
71,False,2019-11-17
50,False,2019-11-24
66,False,2019-12-01
61,False,2019-12-08
84,False,2019-12-15
62,False,2019-12-22
65,False,2019-12-29
88,False,2020-01-05
73,False,2020-01-12
85,False,2020-01-19
65,False,2020-01-26
70,False,2020-02-02
77,False,2020-02-09
70,False,2020-02-16
40,False,2020-02-23
60,False,2020-03-01
58,False,2020-03-08
39,False,2020-03-15
59,False,2020-03-22
45,False,2020-03-29
47,False,2020-04-05
57,False,2020-04-12
65,False,2020-04-19
75,False,2020-04-26
64,False,2020-05-03
43,False,2020-05-10
59,True,2020-05-17
