medication for anxiety and depression,isPartial,date
82,False,2019-05-26
58,False,2019-06-02
73,False,2019-06-09
62,False,2019-06-16
37,False,2019-06-23
57,False,2019-06-30
51,False,2019-07-07
51,False,2019-07-14
71,False,2019-07-21
86,False,2019-07-28
71,False,2019-08-04
76,False,2019-08-11
57,False,2019-08-18
62,False,2019-08-25
41,False,2019-09-01
73,False,2019-09-08
43,False,2019-09-15
93,False,2019-09-22
57,False,2019-09-29
88,False,2019-10-06
57,False,2019-10-13
70,False,2019-10-20
46,False,2019-10-27
43,False,2019-11-03
65,False,2019-11-10
59,False,2019-11-17
45,False,2019-11-24
61,False,2019-12-01
62,False,2019-12-08
50,False,2019-12-15
64,False,2019-12-22
56,False,2019-12-29
64,False,2020-01-05
55,False,2020-01-12
100,False,2020-01-19
60,False,2020-01-26
56,False,2020-02-02
72,False,2020-02-09
71,False,2020-02-16
64,False,2020-02-23
78,False,2020-03-01
51,False,2020-03-08
44,False,2020-03-15
49,False,2020-03-22
40,False,2020-03-29
34,False,2020-04-05
36,False,2020-04-12
63,False,2020-04-19
61,False,2020-04-26
64,False,2020-05-03
63,False,2020-05-10
69,True,2020-05-17
