over the counter anxiety medication,isPartial,date
79,False,2019-08-11
46,False,2019-08-18
50,False,2019-08-25
29,False,2019-09-01
67,False,2019-09-08
79,False,2019-09-15
68,False,2019-09-22
44,False,2019-09-29
34,False,2019-10-06
73,False,2019-10-13
43,False,2019-10-20
91,False,2019-10-27
43,False,2019-11-03
93,False,2019-11-10
81,False,2019-11-17
40,False,2019-11-24
74,False,2019-12-01
61,False,2019-12-08
77,False,2019-12-15
54,False,2019-12-22
40,False,2019-12-29
56,False,2020-01-05
62,False,2020-01-12
42,False,2020-01-19
73,False,2020-01-26
68,False,2020-02-02
50,False,2020-02-09
86,False,2020-02-16
79,False,2020-02-23
100,False,2020-03-01
78,False,2020-03-08
47,False,2020-03-15
50,False,2020-03-22
49,False,2020-03-29
25,False,2020-04-05
56,False,2020-04-12
52,False,2020-04-19
76,False,2020-04-26
52,False,2020-05-03
29,False,2020-05-10
54,False,2020-05-17
47,False,2020-05-24
54,False,2020-05-31
64,False,2020-06-07
92,False,2020-06-14
53,False,2020-06-21
90,False,2020-06-28
68,False,2020-07-05
77,False,2020-07-12
91,False,2020-07-19
51,False,2020-07-26
82,True,2020-08-02
