anxiety depression medication,isPartial,date
80,False,2019-05-26
36,False,2019-06-02
76,False,2019-06-09
59,False,2019-06-16
80,False,2019-06-23
47,False,2019-06-30
63,False,2019-07-07
86,False,2019-07-14
70,False,2019-07-21
95,False,2019-07-28
85,False,2019-08-04
81,False,2019-08-11
75,False,2019-08-18
81,False,2019-08-25
68,False,2019-09-01
58,False,2019-09-08
70,False,2019-09-15
65,False,2019-09-22
72,False,2019-09-29
100,False,2019-10-06
69,False,2019-10-13
84,False,2019-10-20
68,False,2019-10-27
72,False,2019-11-03
72,False,2019-11-10
62,False,2019-11-17
76,False,2019-11-24
61,False,2019-12-01
70,False,2019-12-08
56,False,2019-12-15
78,False,2019-12-22
75,False,2019-12-29
86,False,2020-01-05
82,False,2020-01-12
72,False,2020-01-19
81,False,2020-01-26
64,False,2020-02-02
83,False,2020-02-09
79,False,2020-02-16
50,False,2020-02-23
40,False,2020-03-01
78,False,2020-03-08
46,False,2020-03-15
52,False,2020-03-22
43,False,2020-03-29
52,False,2020-04-05
48,False,2020-04-12
40,False,2020-04-19
70,False,2020-04-26
69,False,2020-05-03
64,False,2020-05-10
67,True,2020-05-17
