medication for depression,isPartial,date
80,False,2019-08-11
74,False,2019-08-18
73,False,2019-08-25
74,False,2019-09-01
83,False,2019-09-08
75,False,2019-09-15
88,False,2019-09-22
84,False,2019-09-29
76,False,2019-10-06
81,False,2019-10-13
91,False,2019-10-20
74,False,2019-10-27
88,False,2019-11-03
87,False,2019-11-10
80,False,2019-11-17
70,False,2019-11-24
77,False,2019-12-01
88,False,2019-12-08
73,False,2019-12-15
60,False,2019-12-22
72,False,2019-12-29
76,False,2020-01-05
81,False,2020-01-12
82,False,2020-01-19
93,False,2020-01-26
86,False,2020-02-02
93,False,2020-02-09
100,False,2020-02-16
80,False,2020-02-23
70,False,2020-03-01
73,False,2020-03-08
55,False,2020-03-15
51,False,2020-03-22
54,False,2020-03-29
64,False,2020-04-05
66,False,2020-04-12
77,False,2020-04-19
83,False,2020-04-26
82,False,2020-05-03
78,False,2020-05-10
70,False,2020-05-17
87,False,2020-05-24
51,False,2020-05-31
66,False,2020-06-07
80,False,2020-06-14
57,False,2020-06-21
70,False,2020-06-28
65,False,2020-07-05
60,False,2020-07-12
87,False,2020-07-19
74,False,2020-07-26
71,True,2020-08-02
