anti anxiety medication,isPartial,date
89,False,2019-08-11
91,False,2019-08-18
94,False,2019-08-25
84,False,2019-09-01
99,False,2019-09-08
93,False,2019-09-15
89,False,2019-09-22
84,False,2019-09-29
93,False,2019-10-06
91,False,2019-10-13
71,False,2019-10-20
89,False,2019-10-27
98,False,2019-11-03
84,False,2019-11-10
84,False,2019-11-17
59,False,2019-11-24
69,False,2019-12-01
58,False,2019-12-08
82,False,2019-12-15
67,False,2019-12-22
68,False,2019-12-29
81,False,2020-01-05
77,False,2020-01-12
72,False,2020-01-19
82,False,2020-01-26
90,False,2020-02-02
68,False,2020-02-09
81,False,2020-02-16
64,False,2020-02-23
95,False,2020-03-01
60,False,2020-03-08
53,False,2020-03-15
51,False,2020-03-22
63,False,2020-03-29
49,False,2020-04-05
51,False,2020-04-12
66,False,2020-04-19
51,False,2020-04-26
74,False,2020-05-03
48,False,2020-05-10
52,False,2020-05-17
46,False,2020-05-24
60,False,2020-05-31
58,False,2020-06-07
67,False,2020-06-14
64,False,2020-06-21
80,False,2020-06-28
40,False,2020-07-05
75,False,2020-07-12
79,False,2020-07-19
81,False,2020-07-26
100,True,2020-08-02
