anxiety medicine,isPartial,date
71,False,2019-08-11
86,False,2019-08-18
97,False,2019-08-25
81,False,2019-09-01
82,False,2019-09-08
84,False,2019-09-15
79,False,2019-09-22
88,False,2019-09-29
100,False,2019-10-06
88,False,2019-10-13
95,False,2019-10-20
91,False,2019-10-27
71,False,2019-11-03
87,False,2019-11-10
65,False,2019-11-17
62,False,2019-11-24
58,False,2019-12-01
70,False,2019-12-08
69,False,2019-12-15
70,False,2019-12-22
76,False,2019-12-29
97,False,2020-01-05
94,False,2020-01-12
73,False,2020-01-19
70,False,2020-01-26
82,False,2020-02-02
77,False,2020-02-09
75,False,2020-02-16
73,False,2020-02-23
86,False,2020-03-01
57,False,2020-03-08
53,False,2020-03-15
66,False,2020-03-22
51,False,2020-03-29
62,False,2020-04-05
68,False,2020-04-12
69,False,2020-04-19
60,False,2020-04-26
60,False,2020-05-03
83,False,2020-05-10
67,False,2020-05-17
78,False,2020-05-24
72,False,2020-05-31
88,False,2020-06-07
88,False,2020-06-14
80,False,2020-06-21
86,False,2020-06-28
76,False,2020-07-05
84,False,2020-07-12
91,False,2020-07-19
65,False,2020-07-26
68,True,2020-08-02
