zoloft,isPartial,date
97,False,2019-08-11
94,False,2019-08-18
91,False,2019-08-25
83,False,2019-09-01
91,False,2019-09-08
95,False,2019-09-15
92,False,2019-09-22
92,False,2019-09-29
97,False,2019-10-06
93,False,2019-10-13
92,False,2019-10-20
94,False,2019-10-27
95,False,2019-11-03
89,False,2019-11-10
96,False,2019-11-17
86,False,2019-11-24
85,False,2019-12-01
91,False,2019-12-08
90,False,2019-12-15
79,False,2019-12-22
84,False,2019-12-29
93,False,2020-01-05
90,False,2020-01-12
94,False,2020-01-19
96,False,2020-01-26
92,False,2020-02-02
96,False,2020-02-09
100,False,2020-02-16
95,False,2020-02-23
95,False,2020-03-01
82,False,2020-03-08
71,False,2020-03-15
69,False,2020-03-22
66,False,2020-03-29
73,False,2020-04-05
72,False,2020-04-12
71,False,2020-04-19
74,False,2020-04-26
74,False,2020-05-03
74,False,2020-05-10
79,False,2020-05-17
76,False,2020-05-24
78,False,2020-05-31
87,False,2020-06-07
87,False,2020-06-14
82,False,2020-06-21
83,False,2020-06-28
88,False,2020-07-05
86,False,2020-07-12
92,False,2020-07-19
91,False,2020-07-26
86,True,2020-08-02
