ssri,isPartial,date
91,False,2019-08-11
96,False,2019-08-18
87,False,2019-08-25
73,False,2019-09-01
93,False,2019-09-08
95,False,2019-09-15
87,False,2019-09-22
93,False,2019-09-29
100,False,2019-10-06
96,False,2019-10-13
94,False,2019-10-20
93,False,2019-10-27
88,False,2019-11-03
97,False,2019-11-10
88,False,2019-11-17
74,False,2019-11-24
94,False,2019-12-01
89,False,2019-12-08
85,False,2019-12-15
60,False,2019-12-22
72,False,2019-12-29
89,False,2020-01-05
89,False,2020-01-12
94,False,2020-01-19
91,False,2020-01-26
95,False,2020-02-02
94,False,2020-02-09
89,False,2020-02-16
95,False,2020-02-23
91,False,2020-03-01
84,False,2020-03-08
63,False,2020-03-15
62,False,2020-03-22
62,False,2020-03-29
69,False,2020-04-05
78,False,2020-04-12
79,False,2020-04-19
77,False,2020-04-26
83,False,2020-05-03
83,False,2020-05-10
79,False,2020-05-17
72,False,2020-05-24
76,False,2020-05-31
81,False,2020-06-07
90,False,2020-06-14
87,False,2020-06-21
89,False,2020-06-28
90,False,2020-07-05
83,False,2020-07-12
89,False,2020-07-19
94,False,2020-07-26
86,True,2020-08-02
