social anxiety medication,isPartial,date
42,False,2019-05-26
50,False,2019-06-02
41,False,2019-06-09
41,False,2019-06-16
75,False,2019-06-23
57,False,2019-06-30
27,False,2019-07-07
50,False,2019-07-14
61,False,2019-07-21
37,False,2019-07-28
65,False,2019-08-04
47,False,2019-08-11
58,False,2019-08-18
43,False,2019-08-25
55,False,2019-09-01
82,False,2019-09-08
65,False,2019-09-15
50,False,2019-09-22
54,False,2019-09-29
44,False,2019-10-06
38,False,2019-10-13
50,False,2019-10-20
70,False,2019-10-27
62,False,2019-11-03
36,False,2019-11-10
24,False,2019-11-17
47,False,2019-11-24
100,False,2019-12-01
37,False,2019-12-08
50,False,2019-12-15
35,False,2019-12-22
31,False,2019-12-29
56,False,2020-01-05
57,False,2020-01-12
68,False,2020-01-19
90,False,2020-01-26
59,False,2020-02-02
35,False,2020-02-09
54,False,2020-02-16
72,False,2020-02-23
49,False,2020-03-01
64,False,2020-03-08
29,False,2020-03-15
25,False,2020-03-22
46,False,2020-03-29
29,False,2020-04-05
52,False,2020-04-12
44,False,2020-04-19
34,False,2020-04-26
28,False,2020-05-03
25,False,2020-05-10
31,True,2020-05-17
