depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
86,False,2019-01-06
77,False,2019-01-13
90,False,2019-01-20
84,False,2019-01-27
82,False,2019-02-03
95,False,2019-02-10
76,False,2019-02-17
91,False,2019-02-24
89,False,2019-03-03
91,False,2019-03-10
65,False,2019-03-17
80,False,2019-03-24
100,False,2019-03-31
85,False,2019-04-07
89,False,2019-04-14
77,False,2019-04-21
91,False,2019-04-28
81,False,2019-05-05
76,False,2019-05-12
82,False,2019-05-19
82,False,2019-05-26
89,False,2019-06-02
69,False,2019-06-09
51,False,2019-06-16
79,False,2019-06-23
77,False,2019-06-30
78,False,2019-07-07
81,False,2019-07-14
94,False,2019-07-21
94,False,2019-07-28
69,False,2019-08-04
75,False,2019-08-11
72,False,2019-08-18
69,False,2019-08-25
79,False,2019-09-01
89,False,2019-09-08
70,False,2019-09-15
82,False,2019-09-22
78,False,2019-09-29
73,False,2019-10-06
82,False,2019-10-13
76,False,2019-10-20
80,False,2019-10-27
83,False,2019-11-03
88,False,2019-11-10
79,False,2019-11-17
68,False,2019-11-24
74,False,2019-12-01
90,False,2019-12-08
79,False,2019-12-15
51,False,2019-12-22
71,False,2019-12-29
77,False,2020-01-05
75,False,2020-01-12
86,False,2020-01-19
64,False,2020-01-26
86,False,2020-02-02
82,False,2020-02-09
87,False,2020-02-16
83,False,2020-02-23
78,False,2020-03-01
70,False,2020-03-08
53,False,2020-03-15
65,False,2020-03-22
69,False,2020-03-29
86,False,2020-04-05
78,False,2020-04-12
73,False,2020-04-19
62,False,2020-04-26
64,False,2020-05-03
68,False,2020-05-10
68,False,2020-05-17
75,False,2020-05-24
58,False,2020-05-31
73,False,2020-06-07
81,False,2020-06-14
92,False,2020-06-21
71,False,2020-06-28
62,False,2020-07-05
82,False,2020-07-12
70,False,2020-07-19
69,False,2020-07-26
65,False,2020-08-02
68,False,2020-08-09
68,False,2020-08-16
71,False,2020-08-23
76,False,2020-08-30
