baby blues,isPartial,date
0,False,2019-01-06
32,False,2019-01-13
33,False,2019-01-20
32,False,2019-01-27
63,False,2019-02-03
31,False,2019-02-10
47,False,2019-02-17
31,False,2019-02-24
33,False,2019-03-03
33,False,2019-03-10
66,False,2019-03-17
32,False,2019-03-24
100,False,2019-03-31
33,False,2019-04-07
34,False,2019-04-14
68,False,2019-04-21
44,False,2019-04-28
85,False,2019-05-05
34,False,2019-05-12
0,False,2019-05-19
36,False,2019-05-26
52,False,2019-06-02
35,False,2019-06-09
35,False,2019-06-16
47,False,2019-06-23
36,False,2019-06-30
35,False,2019-07-07
35,False,2019-07-14
53,False,2019-07-21
35,False,2019-07-28
34,False,2019-08-04
0,False,2019-08-11
33,False,2019-08-18
64,False,2019-08-25
31,False,2019-09-01
51,False,2019-09-08
31,False,2019-09-15
31,False,2019-09-22
31,False,2019-09-29
43,False,2019-10-06
31,False,2019-10-13
41,False,2019-10-20
47,False,2019-10-27
45,False,2019-11-03
0,False,2019-11-10
60,False,2019-11-17
46,False,2019-11-24
30,False,2019-12-01
31,False,2019-12-08
95,False,2019-12-15
0,False,2019-12-22
32,False,2019-12-29
45,False,2020-01-05
84,False,2020-01-12
29,False,2020-01-19
29,False,2020-01-26
29,False,2020-02-02
29,False,2020-02-09
38,False,2020-02-16
55,False,2020-02-23
27,False,2020-03-01
55,False,2020-03-08
27,False,2020-03-15
40,False,2020-03-22
25,False,2020-03-29
65,False,2020-04-05
51,False,2020-04-12
25,False,2020-04-19
76,False,2020-04-26
77,False,2020-05-03
35,False,2020-05-10
40,False,2020-05-17
0,False,2020-05-24
51,False,2020-05-31
35,False,2020-06-07
40,False,2020-06-14
64,False,2020-06-21
0,False,2020-06-28
57,False,2020-07-05
48,False,2020-07-12
43,False,2020-07-19
0,False,2020-07-26
27,False,2020-08-02
40,False,2020-08-09
53,False,2020-08-16
52,False,2020-08-23
26,False,2020-08-30
