severe depression,isPartial,date
23,False,2019-01-06
23,False,2019-01-13
33,False,2019-01-20
0,False,2019-01-27
34,False,2019-02-03
67,False,2019-02-10
33,False,2019-02-17
54,False,2019-02-24
22,False,2019-03-03
86,False,2019-03-10
44,False,2019-03-17
78,False,2019-03-24
44,False,2019-03-31
58,False,2019-04-07
23,False,2019-04-14
48,False,2019-04-21
36,False,2019-04-28
24,False,2019-05-05
25,False,2019-05-12
25,False,2019-05-19
100,False,2019-05-26
24,False,2019-06-02
37,False,2019-06-09
61,False,2019-06-16
37,False,2019-06-23
25,False,2019-06-30
24,False,2019-07-07
0,False,2019-07-14
24,False,2019-07-21
48,False,2019-07-28
24,False,2019-08-04
24,False,2019-08-11
46,False,2019-08-18
22,False,2019-08-25
64,False,2019-09-01
33,False,2019-09-08
45,False,2019-09-15
91,False,2019-09-22
22,False,2019-09-29
0,False,2019-10-06
66,False,2019-10-13
54,False,2019-10-20
44,False,2019-10-27
64,False,2019-11-03
21,False,2019-11-10
32,False,2019-11-17
22,False,2019-11-24
43,False,2019-12-01
22,False,2019-12-08
0,False,2019-12-15
22,False,2019-12-22
43,False,2019-12-29
41,False,2020-01-05
20,False,2020-01-12
20,False,2020-01-19
49,False,2020-01-26
78,False,2020-02-02
59,False,2020-02-09
19,False,2020-02-16
75,False,2020-02-23
96,False,2020-03-01
75,False,2020-03-08
19,False,2020-03-15
19,False,2020-03-22
36,False,2020-03-29
36,False,2020-04-05
71,False,2020-04-12
36,False,2020-04-19
82,False,2020-04-26
36,False,2020-05-03
28,False,2020-05-10
37,False,2020-05-17
28,False,2020-05-24
64,False,2020-05-31
37,False,2020-06-07
67,False,2020-06-14
49,False,2020-06-21
30,False,2020-06-28
80,False,2020-07-05
51,False,2020-07-12
51,False,2020-07-19
61,False,2020-07-26
41,False,2020-08-02
0,False,2020-08-09
41,False,2020-08-16
39,False,2020-08-23
58,False,2020-08-30
