depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
70,False,2019-01-06
71,False,2019-01-13
71,False,2019-01-20
100,False,2019-01-27
79,False,2019-02-03
77,False,2019-02-10
76,False,2019-02-17
88,False,2019-02-24
97,False,2019-03-03
77,False,2019-03-10
87,False,2019-03-17
94,False,2019-03-24
73,False,2019-03-31
88,False,2019-04-07
50,False,2019-04-14
95,False,2019-04-21
98,False,2019-04-28
56,False,2019-05-05
87,False,2019-05-12
72,False,2019-05-19
43,False,2019-05-26
60,False,2019-06-02
64,False,2019-06-09
71,False,2019-06-16
61,False,2019-06-23
60,False,2019-06-30
50,False,2019-07-07
55,False,2019-07-14
64,False,2019-07-21
72,False,2019-07-28
73,False,2019-08-04
46,False,2019-08-11
58,False,2019-08-18
62,False,2019-08-25
70,False,2019-09-01
59,False,2019-09-08
63,False,2019-09-15
81,False,2019-09-22
91,False,2019-09-29
64,False,2019-10-06
54,False,2019-10-13
72,False,2019-10-20
75,False,2019-10-27
82,False,2019-11-03
68,False,2019-11-10
79,False,2019-11-17
62,False,2019-11-24
74,False,2019-12-01
51,False,2019-12-08
62,False,2019-12-15
61,False,2019-12-22
63,False,2019-12-29
58,False,2020-01-05
48,False,2020-01-12
71,False,2020-01-19
63,False,2020-01-26
73,False,2020-02-02
77,False,2020-02-09
59,False,2020-02-16
85,False,2020-02-23
78,False,2020-03-01
84,False,2020-03-08
46,False,2020-03-15
47,False,2020-03-22
52,False,2020-03-29
48,False,2020-04-05
59,False,2020-04-12
54,False,2020-04-19
64,False,2020-04-26
51,False,2020-05-03
61,False,2020-05-10
68,False,2020-05-17
71,False,2020-05-24
44,False,2020-05-31
62,False,2020-06-07
61,False,2020-06-14
56,False,2020-06-21
75,False,2020-06-28
55,False,2020-07-05
59,False,2020-07-12
55,False,2020-07-19
72,False,2020-07-26
56,False,2020-08-02
67,False,2020-08-09
67,False,2020-08-16
56,False,2020-08-23
39,False,2020-08-30
