symptoms of depression,isPartial,date
53,False,2019-01-06
87,False,2019-01-13
70,False,2019-01-20
51,False,2019-01-27
34,False,2019-02-03
90,False,2019-02-10
33,False,2019-02-17
67,False,2019-02-24
70,False,2019-03-03
47,False,2019-03-10
36,False,2019-03-17
58,False,2019-03-24
35,False,2019-03-31
71,False,2019-04-07
73,False,2019-04-14
54,False,2019-04-21
89,False,2019-04-28
48,False,2019-05-05
36,False,2019-05-12
75,False,2019-05-19
38,False,2019-05-26
37,False,2019-06-02
74,False,2019-06-09
74,False,2019-06-16
56,False,2019-06-23
51,False,2019-06-30
37,False,2019-07-07
38,False,2019-07-14
38,False,2019-07-21
56,False,2019-07-28
36,False,2019-08-04
53,False,2019-08-11
87,False,2019-08-18
51,False,2019-08-25
67,False,2019-09-01
99,False,2019-09-08
33,False,2019-09-15
50,False,2019-09-22
84,False,2019-09-29
0,False,2019-10-06
50,False,2019-10-13
33,False,2019-10-20
100,False,2019-10-27
65,False,2019-11-03
43,False,2019-11-10
53,False,2019-11-17
44,False,2019-11-24
32,False,2019-12-01
82,False,2019-12-08
34,False,2019-12-15
71,False,2019-12-22
51,False,2019-12-29
64,False,2020-01-05
45,False,2020-01-12
62,False,2020-01-19
77,False,2020-01-26
61,False,2020-02-02
71,False,2020-02-09
45,False,2020-02-16
44,False,2020-02-23
44,False,2020-03-01
49,False,2020-03-08
48,False,2020-03-15
47,False,2020-03-22
45,False,2020-03-29
55,False,2020-04-05
36,False,2020-04-12
27,False,2020-04-19
27,False,2020-04-26
64,False,2020-05-03
28,False,2020-05-10
28,False,2020-05-17
43,False,2020-05-24
42,False,2020-05-31
38,False,2020-06-07
56,False,2020-06-14
0,False,2020-06-21
30,False,2020-06-28
46,False,2020-07-05
71,False,2020-07-12
41,False,2020-07-19
91,False,2020-07-26
39,False,2020-08-02
47,False,2020-08-09
47,False,2020-08-16
56,False,2020-08-23
66,False,2020-08-30
