what is depression,isPartial,date
53,False,2019-01-06
42,False,2019-01-13
33,False,2019-01-20
28,False,2019-01-27
48,False,2019-02-03
37,False,2019-02-10
36,False,2019-02-17
77,False,2019-02-24
67,False,2019-03-03
29,False,2019-03-10
53,False,2019-03-17
47,False,2019-03-24
53,False,2019-03-31
49,False,2019-04-07
54,False,2019-04-14
73,False,2019-04-21
44,False,2019-04-28
60,False,2019-05-05
50,False,2019-05-12
51,False,2019-05-19
31,False,2019-05-26
51,False,2019-06-02
38,False,2019-06-09
36,False,2019-06-16
31,False,2019-06-23
37,False,2019-06-30
23,False,2019-07-07
23,False,2019-07-14
21,False,2019-07-21
61,False,2019-07-28
45,False,2019-08-04
48,False,2019-08-11
43,False,2019-08-18
65,False,2019-08-25
32,False,2019-09-01
40,False,2019-09-08
49,False,2019-09-15
36,False,2019-09-22
41,False,2019-09-29
38,False,2019-10-06
69,False,2019-10-13
54,False,2019-10-20
50,False,2019-10-27
53,False,2019-11-03
75,False,2019-11-10
61,False,2019-11-17
53,False,2019-11-24
39,False,2019-12-01
40,False,2019-12-08
41,False,2019-12-15
22,False,2019-12-22
56,False,2019-12-29
35,False,2020-01-05
45,False,2020-01-12
72,False,2020-01-19
42,False,2020-01-26
31,False,2020-02-02
92,False,2020-02-09
49,False,2020-02-16
24,False,2020-02-23
100,False,2020-03-01
56,False,2020-03-08
39,False,2020-03-15
65,False,2020-03-22
44,False,2020-03-29
91,False,2020-04-05
48,False,2020-04-12
59,False,2020-04-19
33,False,2020-04-26
56,False,2020-05-03
50,False,2020-05-10
43,False,2020-05-17
43,False,2020-05-24
38,False,2020-05-31
50,False,2020-06-07
42,False,2020-06-14
32,False,2020-06-21
41,False,2020-06-28
33,False,2020-07-05
31,False,2020-07-12
42,False,2020-07-19
25,False,2020-07-26
28,False,2020-08-02
41,False,2020-08-09
27,False,2020-08-16
23,False,2020-08-23
57,False,2020-08-30
