depressive,isPartial,date
76,False,2019-08-25
50,False,2019-09-01
41,False,2019-09-08
100,False,2019-09-15
58,False,2019-09-22
33,False,2019-09-29
50,False,2019-10-06
25,False,2019-10-13
73,False,2019-10-20
41,False,2019-10-27
32,False,2019-11-03
40,False,2019-11-10
84,False,2019-11-17
42,False,2019-11-24
47,False,2019-12-01
37,False,2019-12-08
50,False,2019-12-15
83,False,2019-12-22
25,False,2019-12-29
55,False,2020-01-05
22,False,2020-01-12
40,False,2020-01-19
46,False,2020-01-26
23,False,2020-02-02
46,False,2020-02-09
45,False,2020-02-16
37,False,2020-02-23
22,False,2020-03-01
67,False,2020-03-08
55,False,2020-03-15
42,False,2020-03-22
70,False,2020-03-29
64,False,2020-04-05
41,False,2020-04-12
60,False,2020-04-19
55,False,2020-04-26
31,False,2020-05-03
42,False,2020-05-10
40,False,2020-05-17
42,False,2020-05-24
21,False,2020-05-31
41,False,2020-06-07
42,False,2020-06-14
44,False,2020-06-21
56,False,2020-06-28
30,False,2020-07-05
46,False,2020-07-12
46,False,2020-07-19
46,False,2020-07-26
31,False,2020-08-02
69,False,2020-08-09
40,True,2020-08-16
