symptoms of depression,isPartial,date
72,False,2019-01-06
73,False,2019-01-13
77,False,2019-01-20
61,False,2019-01-27
86,False,2019-02-03
79,False,2019-02-10
91,False,2019-02-17
96,False,2019-02-24
86,False,2019-03-03
85,False,2019-03-10
81,False,2019-03-17
82,False,2019-03-24
77,False,2019-03-31
91,False,2019-04-07
79,False,2019-04-14
87,False,2019-04-21
90,False,2019-04-28
82,False,2019-05-05
69,False,2019-05-12
73,False,2019-05-19
59,False,2019-05-26
74,False,2019-06-02
62,False,2019-06-09
67,False,2019-06-16
66,False,2019-06-23
55,False,2019-06-30
81,False,2019-07-07
61,False,2019-07-14
65,False,2019-07-21
68,False,2019-07-28
74,False,2019-08-04
64,False,2019-08-11
59,False,2019-08-18
59,False,2019-08-25
61,False,2019-09-01
81,False,2019-09-08
85,False,2019-09-15
78,False,2019-09-22
84,False,2019-09-29
85,False,2019-10-06
83,False,2019-10-13
82,False,2019-10-20
84,False,2019-10-27
82,False,2019-11-03
84,False,2019-11-10
92,False,2019-11-17
68,False,2019-11-24
100,False,2019-12-01
79,False,2019-12-08
72,False,2019-12-15
51,False,2019-12-22
62,False,2019-12-29
72,False,2020-01-05
74,False,2020-01-12
74,False,2020-01-19
79,False,2020-01-26
89,False,2020-02-02
82,False,2020-02-09
79,False,2020-02-16
92,False,2020-02-23
94,False,2020-03-01
83,False,2020-03-08
53,False,2020-03-15
69,False,2020-03-22
74,False,2020-03-29
72,False,2020-04-05
78,False,2020-04-12
89,False,2020-04-19
85,False,2020-04-26
90,False,2020-05-03
91,False,2020-05-10
66,False,2020-05-17
64,False,2020-05-24
70,False,2020-05-31
76,False,2020-06-07
73,False,2020-06-14
83,False,2020-06-21
63,False,2020-06-28
64,False,2020-07-05
76,False,2020-07-12
66,False,2020-07-19
64,False,2020-07-26
62,False,2020-08-02
62,False,2020-08-09
58,False,2020-08-16
60,False,2020-08-23
74,False,2020-08-30
