depression and anxiety,isPartial,date
28,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
27,False,2019-01-27
26,False,2019-02-03
26,False,2019-02-10
27,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
53,False,2019-03-10
0,False,2019-03-17
26,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
27,False,2019-04-21
0,False,2019-04-28
27,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
25,False,2019-06-02
25,False,2019-06-09
0,False,2019-06-16
24,False,2019-06-23
25,False,2019-06-30
25,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
25,False,2019-08-04
24,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
25,False,2019-09-01
25,False,2019-09-08
25,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
25,False,2019-10-13
100,False,2019-10-20
26,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
25,False,2019-11-17
50,False,2019-11-24
25,False,2019-12-01
42,False,2019-12-08
25,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
24,False,2020-01-19
24,False,2020-01-26
24,False,2020-02-02
24,False,2020-02-09
0,False,2020-02-16
23,False,2020-02-23
0,False,2020-03-01
22,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
22,False,2020-03-29
22,False,2020-04-05
0,False,2020-04-12
20,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
31,False,2020-05-10
0,False,2020-05-17
21,False,2020-05-24
21,False,2020-05-31
0,False,2020-06-07
22,False,2020-06-14
0,False,2020-06-21
22,False,2020-06-28
22,False,2020-07-05
23,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
23,False,2020-08-16
0,False,2020-08-23
23,False,2020-08-30
