clinical depression,isPartial,date
34,False,2019-01-06
51,False,2019-01-13
37,False,2019-01-20
51,False,2019-01-27
42,False,2019-02-03
50,False,2019-02-10
50,False,2019-02-17
32,False,2019-02-24
40,False,2019-03-03
32,False,2019-03-10
50,False,2019-03-17
42,False,2019-03-24
41,False,2019-03-31
66,False,2019-04-07
53,False,2019-04-14
27,False,2019-04-21
27,False,2019-04-28
27,False,2019-05-05
56,False,2019-05-12
70,False,2019-05-19
28,False,2019-05-26
54,False,2019-06-02
46,False,2019-06-09
27,False,2019-06-16
82,False,2019-06-23
28,False,2019-06-30
26,False,2019-07-07
35,False,2019-07-14
80,False,2019-07-21
41,False,2019-07-28
62,False,2019-08-04
26,False,2019-08-11
26,False,2019-08-18
24,False,2019-08-25
40,False,2019-09-01
82,False,2019-09-08
66,False,2019-09-15
59,False,2019-09-22
42,False,2019-09-29
66,False,2019-10-06
81,False,2019-10-13
49,False,2019-10-20
33,False,2019-10-27
64,False,2019-11-03
87,False,2019-11-10
85,False,2019-11-17
75,False,2019-11-24
24,False,2019-12-01
48,False,2019-12-08
36,False,2019-12-15
25,False,2019-12-22
72,False,2019-12-29
34,False,2020-01-05
33,False,2020-01-12
34,False,2020-01-19
66,False,2020-01-26
76,False,2020-02-02
44,False,2020-02-09
100,False,2020-02-16
32,False,2020-02-23
64,False,2020-03-01
42,False,2020-03-08
32,False,2020-03-15
64,False,2020-03-22
40,False,2020-03-29
61,False,2020-04-05
33,False,2020-04-12
33,False,2020-04-19
20,False,2020-04-26
71,False,2020-05-03
41,False,2020-05-10
31,False,2020-05-17
63,False,2020-05-24
41,False,2020-05-31
21,False,2020-06-07
54,False,2020-06-14
51,False,2020-06-21
44,False,2020-06-28
56,False,2020-07-05
38,False,2020-07-12
23,False,2020-07-19
45,False,2020-07-26
23,False,2020-08-02
38,False,2020-08-09
58,False,2020-08-16
44,False,2020-08-23
73,False,2020-08-30
