depressive,isPartial,date
28,False,2019-09-08
85,False,2019-09-15
57,False,2019-09-22
100,False,2019-09-29
30,False,2019-10-06
87,False,2019-10-13
42,False,2019-10-20
67,False,2019-10-27
83,False,2019-11-03
56,False,2019-11-10
82,False,2019-11-17
75,False,2019-11-24
91,False,2019-12-01
47,False,2019-12-08
48,False,2019-12-15
61,False,2019-12-22
29,False,2019-12-29
46,False,2020-01-05
43,False,2020-01-12
62,False,2020-01-19
53,False,2020-01-26
52,False,2020-02-02
78,False,2020-02-09
64,False,2020-02-16
67,False,2020-02-23
75,False,2020-03-01
67,False,2020-03-08
62,False,2020-03-15
64,False,2020-03-22
70,False,2020-03-29
71,False,2020-04-05
47,False,2020-04-12
69,False,2020-04-19
54,False,2020-04-26
70,False,2020-05-03
48,False,2020-05-10
81,False,2020-05-17
58,False,2020-05-24
63,False,2020-05-31
40,False,2020-06-07
49,False,2020-06-14
87,False,2020-06-21
43,False,2020-06-28
52,False,2020-07-05
53,False,2020-07-12
61,False,2020-07-19
61,False,2020-07-26
41,False,2020-08-02
61,False,2020-08-09
61,False,2020-08-16
48,False,2020-08-23
88,True,2020-08-30
